"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
85.815,0.179,4.58367,114.883,2.05877,8.51455,0,16.8151,1.06105,27.4837,0,0,35.9355,116.336,0.529111,0,1.007,0,2.8647,27,253.132,2.97279,13.4822,0,710.537,1391.76,0,3.47286,0,0,149.283,0,3.294,68.22,150.053,0,0,0.936081,0,0,0,0,76888.3,1204.85,0,0,146.678,1.45837,0.97788,104.619,0,147.456,197.035,3.63186,0
139.294,0,0,0,0,4.95265,0,10.0608,0,0,0,0,8.10036,97.8237,3.48279,1.63194,0,2.87727,0,34,95.6809,0,29.2929,6.88602,238.005,473.606,0,0,0,0,53.83,0,0,21.9109,300.65,0,0,0,0,0.291478,0,0,419764,796.793,0,0.693194,3.49186,0,4.07537,74.4624,0,80.7263,317.083,0,0
37.162,0.154445,0,2.04789,0,7.88779,2.49922,47.9451,2.65172,0,0,2.27036,1.65225,169.368,0,1.12074,0,7.33914,0.201071,32,183.431,1.25733,23.1137,0,190.927,352.546,0,1.80387,0,0,103.552,8.37924,1.39104,9.26254,269.373,0,0,0,0,0.266542,0.695966,0,1.04408e+06,1323.1,0,1.50459,0,0,0.437324,2.28505,0,75.0328,51.7964,0,0
110.355,0.0649432,0,0,0,9.59357,0,48.0273,0,0,0,0,1.83524,110.701,0,3.41092,0,0.54943,0,21,160.419,0,46.4758,2.18293,388.043,757.441,0,0,0,0,85.638,0,6.6818,15.3543,91.275,0,0,0,0.859973,0,0,1.57768,107614,1014.23,0,0.54199,0,0,0,6.36422,0,186.038,77.7474,2.47328,0
140.767,0,0,4.01628,0.122948,21.7435,102.474,20.1522,0.717157,0,0.682985,0,13.8185,139.858,0,0,0.453,2.31754,0.614867,19,84.824,24.3541,78.2652,4.708,526.182,1001.42,0,2.39938,0,0,97.82,3.275,18.834,19.835,106.463,0,0,0,0,0,3.00839,0,683452,834.934,0,0,2.05485,0,0,0.0993364,27.7005,70.706,212.957,17.708,5.25996
83.1454,0,0,0,0.279701,27.6402,3.7733,30.9166,0,0,0,0,2.87365,120.259,0,0,0,0,0,23,120.333,0,10.3745,5.55146,201.74,388.991,0.726125,0,1.10734,0,103.443,0,3.96378,13.3012,210.974,0,0,0,0,0.594037,0,0,742195,1084.88,0.257297,3.37594,2.34061,0,0,0.829598,0,113.178,46.7706,3.4513,0
40.7347,0,0,0,0,13.2696,3.44263,16.3922,0.0150914,0,15.1573,0,0.0603903,66.7304,0,2.61888,0,0,0,22,489.53,0,165.508,19.9431,289.53,493.678,0,1.31609,0,0,94.258,0,5.18427e-06,9.95924,69.366,0,0,0.985223,0,0,0,0,1.16404e+06,958.977,0,0,0,0,0,0,0,124.97,75.6997,0,0
141.461,0,0,0,1.08995,8.83648,1.04922,5.59104,0,0,0.0639549,3.86345,0,110.557,0,0,0,0,0,32,315.959,2.10364,19.3641,0,405.467,844.992,0,1.48072,0.800814,2.2399,102.991,0,0.549209,8.70765,130.655,0,0,0,0,0.515357,0,2.14286,82143.8,1540,0,1.2351,0,0.358992,0,0,0,46.1767,45.9509,0,0
90.8456,11.7253,4.13272,0,13.3938,0,14.1514,61.2179,0,112.456,0,1.326,0,152.51,24.0843,0,0,2.49106,0,34,244.014,0.341137,148.695,2.28613,404.353,767.147,0.497888,3.09836,0,0,56.261,0,3.58829,8.14389,220.477,0,0,0,0,1.61981,0,2.03647,107184,736.904,0,0.237317,0.0417516,0,3.58681,5.41704,0,585.727,98.0968,5.54816,245.507
65.7669,0,0,5.79727,0,0.31319,5.30133,12.4442,1.8665,0,0,0,7.25223,83.0523,3.67842,0,0,0,0,21,101.071,0.0673718,42.405,6.25841,238.786,449.374,0,1.9562,0,0,121.078,0,2.25113e-06,5.51038,135.762,0,0,1.09038,0,0.0316496,0,0,510609,937.701,0,0.69209,0.383049,0,0,36.2078,1.41681,137.127,151.695,0,0
