"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
46.0304,0.848593,0,2.65202,0,36.2684,6.87319,34.8472,58.4698,0,0,0,5.40788,0,1.30927,9.43552,0.793699,2.62844,2.0892,30,152.428,1.37698,130.083,4.90964,635.359,1203.44,0,0,0.718347,0,124.999,1.14146,0.807985,0.571255,146.46,0,1.54416,0.217207,0,0.71055,4.88204,0.623865,2.05496e+06,1243.96,0,0,0,180.667,13.8357,0,0,80.1626,26.5594,13.409,0
40.7117,0,0,0.728655,1.9613,9.3974,10.1955,0,15.1664,0,0.753511,0.930604,2.10742,0,0.00889484,28.8398,0,0,18.5318,23,145.681,1.05946,42.1159,0,281.263,489.042,21.5511,0,0.167488,2.28516,124.73,0,0,24.4375,156.577,0,0,0,0.587348,7.21833,0,1.60986,1.50824e+06,1201.54,0,0,0,224.848,7.68025,0,0,102.87,6.34209,0,0
58.408,0,0,0,0,11.9835,4.10362,50.1659,33.1223,0,0,0,0,0,0,0,0,0,0,23,83.02,3.04629,134.756,0.228,490.804,933.814,7.44884,0.607019,0,0,147.956,2.077,3.585,8.506,175.001,0,0,2.90118,2.262,0,8.95369,0,921835,1197.37,0,0,0,260.802,11.5622,0.47067,0,48.006,5.43599,7.53023,0
67.594,0,0,0,2.00265,5.90871,1.5042,11.8136,42.1799,0.324281,0.306373,0,0,0,0,1.19265,0,0,0.0280401,31,242.098,0,80.244,3.83238,399.399,846.332,14.4375,0,0,0,64.843,0,2.55907,53.4814,257.626,1.2655,0,1.01067,2.46791,0,3.83948,3.8801,871764,1982.43,1.15788,0,3.43072,153.764,1.90865,0,1.19329,106.211,32.7315,5.42034,0
35.082,0,0,0,3.99003,25.5588,2.3762,41.2167,11.4122,7.35473,0.229506,0,2.91114,1.83808,0,0,0,0,0.979228,21,76.075,0.898315,28.0323,7.8,259.2,514.106,0,0,0,2.99473,78.555,0,1.98397,71.945,126.937,0,0,0,0,0,0,0,1.79609e+06,1017.76,0,0,0,196.534,0.371312,0,0,56.452,19.921,4.30958,0
76.1575,0,0,0,0,19.1439,0,53.4715,15.6397,0.586875,0,0,0,0,0,2.96006,0,0,28.2305,29,48.2347,0,65.77,0,542.872,931.809,26.9606,6.7161,0,4.73734,95.772,6.80431,6.09689,3.89381,145.488,0,0,0,1.26741,10.7821,0,0,705052,1591.43,0,0,0,241.759,0,0,0,63.7323,10.8639,0,0.700714
39.7306,0,0,0,0,26.4895,8.0574,47.1778,10.7219,0.631689,0,0,0,0,0,32.8989,0,2.43591,0,25,96.6009,0,52.9737,3.98651,281.068,592.059,2.82676,0,0,0,106.111,0,2.99382,106.589,122.912,0,0,0,1.68844,0,0,0,1.33986e+06,1186.07,0.38514,0,0,264.404,4.16408,0,1.20836e-06,105.692,17.8334,0,0
36.7751,0,0,2.54487,0,25.7577,5.99484,17.7439,19.3188,0,0,0,0,0,0,35.6064,0,0,0.173217,26,255.415,0.823358,6.99749,0,268.475,610.359,0,0,0,0,150.821,0,2.95671,96.7046,144.511,0,0,0.609643,0,2.11272,0,0,1.19117e+06,1172.77,0,0,0,123.276,1.51634,0,0,98.8025,0,1.14382,0
45.983,0,0,4.15141,0,5.47157,0,19.063,9.28012,0,0,0,0,0,0,3.24482,0,0,0.169786,16,51.043,0,0.429082,0,271.345,470.675,0,0.702212,0,0,122.129,0,0.215,15.214,138.717,0,0.336,0,0,0,0,0,131835,672.02,0,0,1.57485,153.911,11.8802,0,3.46987,52.41,9.6586,0,0
46.688,0,0.375505,0,0,50.1639,5.83392,33.4261,10.2782,0,0,0,0,0,0,15.3753,0,0,0,28,65.237,0,42.0635,2.107,113.314,269.279,0,0.823027,0,2.35632,176.844,0.907,7.25,81.466,296.212,0,0,0,0.421,0.329,0,0,524047,1105.99,0,0,0,182.089,0,0,0,99.529,8.43713,0,0
79.2854,0,0,0.80669,1.73808,27.8923,0,35.6046,9.79514,0.000185491,0,0,0,0,0,0.512254,0,0,1.48273,33,128.256,0,9.99878,0,581.014,1155.29,1.62211,0.211698,0.863033,0,118.058,0,0,65.5242,151.572,0,0,0,2.64051,0,0.223177,0,2.13351e+06,1288.71,0,0,0,140.754,0.670283,0,0,86.8164,31.1728,0,18.4211
44.2352,0,0,0,1.93386,31.4175,1.51322,50.5139,15.4413,1.7169,0,0,0,0,0,17.5369,0,0.682684,0,25,106.34,0,4.63064,0,365.612,710.397,0,4.69589,0,9.02347,110.257,0,3.16652e-06,23.5443,128.974,0,0,0,0,0.866529,0,0,406563,1464.86,0,0,2.49433,269.663,3.20072,0,3.45842,62.6561,4.29263,0,0
43.8101,0,0,0,1.01787,21.3391,0.0735613,22.5185,33.4738,2.45417,0,0,0,0,0,1.76387,0,0,0,30,393.755,0.868419,66.6089,2.01552,428.315,795.059,44.704,2.10132,0,1.88284,98.933,0,4.99949,23.8955,166.197,0,2.11805,0,0,0,0.572514,7.64839,388420,1103.88,0,0.215606,0.623292,236.066,9.9479,1.56776,0,122.269,15.6907,55.8307,0
44.5947,0,0,0,0,52.7524,0,1.22997,11.5069,0,0,0,0,0,0.302233,68.9781,0,1.88285,0,28,470.094,0,5.2107,10.4266,369.477,810.911,0,7.42312,0,5.67159,113.618,0,0.147901,8.20491,118.337,0,0,0,3.59104,0.347747,0,0,1.89915e+06,1478.61,0,0,0,231.142,0.940378,0,0,71.6382,110.446,2.10659,0
10.0215,0,0,0,0,5.56462,0.0945991,0,21.4508,2.7756,0.537985,0,0,0,0,2.93073,0,0,0,27,147.883,1.88004,746.003,1.31753,289.529,525.718,0.56139,0,0,0,107.591,0,0,7.72471,133.993,0,0,0,1.56628,0,0,6.41934,1.14033e+06,1305.53,0,0,0,131.387,3.32123,6.59833,1.81641,81.2204,36.3761,2.17507,0
54.2585,48.4627,0,0,46.9557,13.7706,12.1813,1.67428,9.13053,317.882,0,4.9117,0,5.34675,1.04166,0,0.32649,0,0,27,482.345,0,74.8392,4.50097,483.306,875.51,0,0.401373,0,0,109.509,1.42928,0.160612,110.119,115.399,0,0,0.875264,0,0,2.8346,0.877049,1.73399e+06,1431.02,0,0.90769,0,71.7042,0,0,1.03606,63.866,93.0218,0,11.2201
59.8495,52.9143,0,0,2.41212,21.1157,2.5337,10.7314,11.3455,0,0,0,0.82264,0,0,0,0,0,0.4793,23,79.7409,0,28.5866,7.41262,399.952,779.814,0.926553,0.238026,0,0,134.157,0,4.34346,118.306,118.196,0,0,0,1.6367,1.0823,0.305983,0,873960,1155.28,0,0,4.27755,183.128,0,3.09109,1.56839,110.29,36.5294,0,0
26.1764,0,0,0,0.119013,29.6993,1.58858,54.2231,16.2773,0,0,0,0,0,0,2.14861,0,1.12795,0,28,120.942,1.01052,179.775,0,659.24,1150.24,136.237,0,0,0,103.605,0,0.160104,44.434,114.667,0,0,0,0,0.0335191,5.60363,0,190570,1290.52,0,2.82252,0,119.987,4.45211,0,0,108.565,58.3399,22.5371,0
14.382,20.579,0,0,1.84424,2.90813,9.85555,2.13135,39.0792,13.9065,0,0.635212,0,0,1.44155,16.5048,0,0,0,22,44.717,0,17.57,0,217.658,397.366,0,0,0,0,83.942,0,2.19792,103.061,165.669,0,0,3.11416,0,0,0,0.899749,375173,612.607,0,0,0,153.87,14.2222,0.674853,3.06122,25.642,34.5501,2.97638,12.0593
65.0465,0,0,0,0,9.13458,0,17.2387,47.7996,0,0,0,2.18908,0,0,0.969341,0,0,2.22923,31,300.594,0,11.8232,9.18622,206.404,375.185,0,1.44641,0,5.58393,128.978,0,6.12541,34.0338,199.398,0,0,0,1.98732,0,0,0,820186,1536.45,0,0,0,261.121,0,0.702135,0,56.2286,47.198,0,0
30.3428,0,0,0,1.46001,33.6562,5.29799,29.9941,27.8839,1.60785,0,0,0,0,0,0,0,0.675427,0.0935552,29,222.874,1.10484,12.1583,0,278.994,683.55,2.78856,0,0,0,219.239,1.48454,2.98846,0,211.784,0,0,0,0,0,2.06686,0,817698,1445.55,0,0,1.64337,145.035,11.9061,0,0,60.321,140.783,19.108,0
42.899,1.555,0,0,1.26219,49.4855,4.06684,52.6078,16.6886,0,0,0,0,0,0,2.16697,0,0,0,33,37.399,4.42168,11.942,1.058,164.999,378.903,0.211825,0,0,0,81.408,0,0.538989,33.481,280.324,0,0,0,0,0,0,0,1.24137e+06,1756.81,0,0,0,201.126,1.06434,0,0,60.091,0,0,0
38.077,6.561,0,0,1.03882,10.8053,0.240008,1.04772,44.2403,0,0,0,0,0.641384,0,0,0,0.190591,0,22,89.75,1.25982,46.8401,2.09,359.629,771.971,0,0,0,0,144.715,4.003,0,17.638,146.374,0,0,0,0,0,0.536936,0,2.23512e+06,1023.64,0,0,0,83.5254,0,0,0,73.143,17.2436,9.58151,0
39.432,0.355,2.18312,0,10.1841,17.1438,1.63908,21.9046,77.197,0.826312,0,0,0,0,4.88936,0,1.06,0,3.24498,30,73.501,0,34.3013,0,517.956,836.042,0.0342621,0,0,0,55.055,0,0,61.552,228.549,0,0,0,0,0,5.81705,20.4585,502646,1972.43,0,0,0,158.171,1.22962,2.02561,2.53395,61.811,16.5404,37.9212,7.15331
75.0841,0,0,0,2.40363,18.3591,3.93297,40.0366,75.8769,0,0,0.726009,0,0,0,11.1846,2.21988,1.13495,3.35151,33,227.476,0.804526,158.906,0,521.621,1020.45,0,1.11254,0.179232,1.76825,176.266,9.73273,1.63092,19.2854,223.02,0,0,0,0.751265,0.0582665,9.3415,2.02716,475603,1391.25,0,0,0,299.308,1.06019,0,0,129.282,26.7691,21.2323,0.655173
