"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
41.8505,4.84794,1.00038,0,2.63646,4.90916,15.0831,0,27.4536,12.2434,0,7.15211,2.56508,0,0,0,0,2.8103,0,25,97.8256,7.86876,172.787,3.99491,227.092,522.199,0,0.220054,0,0,108.178,0,1.16014,174.971,105.606,0,0,1.24069,0,0,3.48223,0.897648,380667,1155.72,0,2.67893,0,0.0693418,0,31.7098,0.281261,50.9974,116.418,124.081,4.94541
11.239,5.685,0.646171,3.33369,33.3408,12.4498,83.346,2.42535,12.4472,0,7.87829,6.95381,14.7168,0.53672,1.52315,4.46422,0,2.84038,1.60029,23,88.87,13.8469,166.458,0.141,237.823,393.762,10.6217,0,0,3.71329,99.176,0,0.975929,137.713,166.429,0,0,0,0,0,4.0739,0,693042,1026.39,0,9.34501,0,3.46703,0,0,6.98258,72.913,182.928,24.6688,0
8.36511,0,0,0,0,15.8827,0,19.612,11.078,1.8691,0,0,0.687047,7.55571,0,0,0,0.415529,0,24,289.614,0,75.3123,0,269.325,530.703,0,0,0,0,105.475,0,0,2.77858,115.792,0,0,0,0,0.431157,1.41734,0,1.41011e+06,1144.05,0,0,0,0,2.59105,0,2.89337,57.4679,20.1167,0,0
36.0308,12.6678,15.9568,8.50367,46.4868,13.7978,45.1857,13.3803,19.1659,0.842791,10.3894,22.7062,6.55566,3.5795,0,7.23487,0,0,9.89223,22,106.019,4.8109,18.971,3.6886,134.139,327.155,7.38232,2.56699,0,15.8181,142.208,0,6.25972,99.8223,141.532,0,0,0,0,0,17.1709,0,961550,1087.25,0,13.1305,0,0,0,0,101.495,22.1466,78.7743,20.052,1.50252
39.1752,9.99365,0,0,37.9521,0,0,0,12.2645,5.34296e-06,0,0,0,0,0,0,0,0,0,24,33.7968,0,25.9218,1.20834,312.777,465.89,23.4215,0.325434,0,0,124.378,0,0,74.8011,226.681,0,0,0,0,0,4.75789,0,1.48894e+06,1085.12,0,0.891807,0,0,0,0,7.03424e-06,34.6113,7.97849,10.3937,0
23.5744,1.42736,0,0,11.4592,0,0,0.682678,34.3034,0,2.08561,0,0,0,0,0,0,0,0,26,106.012,0,20.8684,0,238.957,437.918,10.1797,0,0,0,112.671,0,0,95.5173,237.645,0,0,0,4.20183,0,1.5486,0,380424,1269.11,0,0.114986,0,0,0,0,0,64.5625,0,25.1519,0
46.515,6.88864,0,0,17.9445,0,0,0,9.40257,0,0.0792896,1.09392,1.07931,0,0,0.991474,0,0,0,17,96.2555,0,17.8125,1.80197,148.229,268.003,48.3464,0,0,0,167.096,0,0,100.874,172.729,0,0,0,0,2.36225,2.31779,0,2.49883e+06,838.526,0,0.0546041,0,0,0,0,0,56.077,3.34682,34.82,0
21.9505,88.1111,0,0,3.16299,0,1.39496,0,18.8544,106.61,0,1.01129,0,0.822033,0,0,0,1.57831,0,27,217.369,0,12.904,0.917706,331.242,536.084,0,0,0,0,165.451,0,0,122.089,161.081,0,0,0,0.772271,0,0,0,293341,1339.62,0,0,0,0,3.08156,5.33726,0,19.7577,24.3083,15.2336,0
8.44998,0,0,0.647943,1.42928,0,0,0,21.6965,0,0,0,0,0,0,0,0,0,0,18,394.255,0,79.1063,6.13731,259.217,468.993,7.6139,0,0,0.0517826,108.819,0,0,6.12817,97.476,0,0,0,0,0,11.273,0.727186,2.57171e+06,716.075,0,0,0,0,0.465017,3.06225,1.79545e-06,60.3625,10.5298,23.8617,0
28.7007,10.6524,0,0,35.0982,0,0,0,9.88675,8.45231e-06,0,0,0,0.021604,0.206208,0,0,0,0,15,40.2435,2.73658,34.8378,1.73273,294.822,556.42,29.3379,0,0,0,148.927,0,0,73.2112,86.017,0,0,2.38065,0,0,0,16.0813,154182,707.504,0,0,0,0,0,0,0,67.4308,4.62351,86.1319,0
131.086,20.507,12.2184,18.6517,70.2531,22.6031,45.8315,32.9903,30.5916,4.51519,28.0766,43.1075,15.2795,0,7.65513,14.7244,0,0.151916,7.55356,21,38.327,8.83166,72.6581,0.055,223.986,394.062,15.8349,0.939291,0.0528538,30.8013,104.62,0,7.218,136.154,131.146,0,0,0.148733,0,0,32.0405,0,278040,993.377,0,47.2087,0.60086,8.58737,1.01242,2.80512,135.526,31.915,107.103,22.6147,4.34008
61.778,0.113,17.2611,11.5849,34.007,10.7949,103.514,30.9909,20.2576,0,16.6387,12.785,7.84912,0,1.08176,7.24121,0,3.93039,0.981972,16,47.242,16.1113,92.2562,7.725,245.38,464.354,15.2347,0,0,4.22404,74.731,0,0,57.199,150.823,0,0,0.134804,0,0,17.2967,0,95373,646.783,0,25.7677,3.12019,2.04568,0,0,17.726,29.68,177.778,1.21287,3.63555
11.1414,7.465,0,0,5.02456,0.242764,2.59677,0.49117,11.6385,0,0,0,0,0,2.51189,0,0,0,0,22,70.4345,1.75525e-06,93.818,0.714015,170.185,386.552,26.3913,0,0,0,131.375,0,0,142.48,174.643,0,0,0,0,0,0,9.21373,2.53305e+06,845.712,0,0,0,0,0,4.56988,0,153.253,10.8035,3.53927,0
12.5782,0,0,0,12.3927,0,0,1.01055,17.9207,0,0,0,0,0,0,0,0,0,0,19,172.521,0,22.9338,1.83203,269.698,493.049,44.9164,0,0,0,133.377,0,0,0.858769,145.844,0,0,2.15404,0.943637,0,1.08737,5.81615,286305,951.79,0,0,0,0,0,0.36193,0,37.4535,17.04,19.1285,0.699581
13.557,78.855,2.11616,0.972676,5.54399,0,19.1056,0.18006,10.8031,2.7465,0,0,3.91121,0,0,0,0,0.957244,1.84651,27,145.094,0,49.3471,7.252,581.273,1160.52,0.635614,0,0,0,109.095,0,24.151,96.403,95.059,0,0,0,1.703,0.55,3.29758,0.272089,1.4707e+06,1328.66,0,1.53309,0,0,6.76121,11.0628,185.092,64.218,153.468,224.091,0
30.1928,0.745465,0,3.791,14.0355,0,0,0,23.0497,0,1.02547,0,0.594332,0,0,0,0,0,0,23,144.329,0,11.9266,0,226.408,405.423,0.786391,0,0,0,112.245,4.30348,0,144.279,138.864,0,0,0,0.294977,0.286337,0,0,273887,1098.74,0,0,2.27259,0,0,2.49313,0,22.3899,63.7084,1.24095,2.06609
8.99691,0,7.06383,286.078,14.6668,0.260261,18.9148,5.69578,10.7329,1.94206,0.21255,0.951501,183.308,0,0.882527,2.03132,0.760016,0,0,28,319.866,5.01035,248.772,7.54413,699.253,1109.13,1.34786,0.636801,0,0,66.013,0,4.64261e-06,46.1093,99.553,0,3.50241,0.233205,0,0,1.02603,36.085,1.07598e+06,1072.71,0,0,53.2549,0,3.23722,266.354,8.12667,199.204,937.742,8.97592,0
9.05239,1.79543,7.75248,0.400893,0,0,1.24796,0,15.6293,1.05981,2.73508,0,1.74352,0,0,3.242,0,0,9.98608,31,16.9935,1.41352,353.475,5.81306,292.689,533.492,10.6084,0,0,0,93.038,0,0,53.5583,184.262,0,0,0,0,3.13253,0,0,231031,1573.13,0,0,0,0,0.449563,33.7541,0.723988,129.485,251.533,155.522,0
26.9286,5.72779,19.5507,10.5258,34.7052,19.7308,64.2915,18.1899,15.3058,0,12.0174,6.75951,8.97716,0,0,1.38964,0,1.21566,9.86798,22,60.55,15.2517,52.2861,0,167.062,299.135,8.29762,2.3776,0,10.0535,124.995,0,2.41781,60.9745,146.927,0,0,1.72926,0,0,21.1948,0,1.14963e+06,896.757,0,19.9642,0,5.76194,0.0280916,0,31.7737,15.4351,137.147,17.3541,0
17.341,1.10927,0,0,9.75277,0,0,0,11.0272,0,8.83491e-06,0,0,0,0,0,0,0,0,24,223.729,3.45839e-06,55.893,0,167.728,281.814,20.2105,0,0,0,140.17,0,0,31.2597,191.976,0,0,0,0,0.122728,0,2.39437,2.76855e+06,1113.92,0,0,0,1.6602,0,2.3372,0,22.9986,18.4157,15.167,0
23.334,0,0,1.25997,0,90.7054,2.09782,6.19232,18.9814,5.43256,0,6.984,0,8.41332e-06,0,0,0.081,1.66515,0,17,33.054,0,0.258545,0,156.514,337.36,0,0.0270256,0,0,167.127,0,0,5.243,152.984,0,0,0,0,0,0,0,1.97519e+06,734.998,0.849,0.885326,0,0,15.6194,3.63142,0,62.568,53.6817,0,0
9.51071,220.279,0.102061,0,2.25914,0,87.1954,2.13735,14.0588,13.8148,0,33.5724,0,0,9.19669,0,0.992548,0.219545,1.74402,26,80.0385,0,21.8513,0,351.71,689.674,0,0,0,0,179.739,0,0,184.761,138.715,0,0,1.94985,0,3.05816,0,0,137835,1141.5,0,0,0.149548,0,8.94021,0,0,46.6547,11.3087,0,1.01022
57.9773,10.2424,12.602,12.315,35.8538,9.66502,76.9853,19.322,13.4252,0,19.7902,38.7973,25.4595,1.49777,0,7.18616,0,0.573749,1.97263,28,400.222,8.93987,110.409,1.34951,217.353,449.067,4.27669,0.841573,3.53535,16.1476,108.864,0.76418,5.64206,107.171,158.079,0,0,1.40717,0,0,33.2653,0,3.04817e+06,1187.29,0,15.9215,0,1.57712,1.79999,2.01799,12.8821,48.5632,294.273,24.631,0
63.5846,0,0,0,3.3613,0,1.89551,0,27.4674,0,0.573349,0,0,0,0,0,0,0,0,31,385.237,6.064,82.1933,0,157.942,332.944,44.8096,0.479662,0.117279,0,196.782,0,1.0704e-06,31.21,271.36,0,0,0.0848889,0,0.675362,0,1.44666,327656,1485.8,0,0,0,0,0,0,0,104.497,14.493,0,2.86645
27.978,0,0,0,0,17.985,0,23.9847,14.342,0.000295395,0,0,1.57384,2.5562,0,0,0,1.55354,0,16,58.295,0,66.4591,2.623,278.063,478.702,1.10661,0,1.16204,0,125.818,0,0,8.087,126.068,0,0,0,0,0,2.52532,0,2.03572e+06,702.803,0,0,1.79718,0,0,0,1.83749,43.545,26.7313,0,0
39.9685,0,0,0,0,0.724202,2.23229,0,15.8891,0.000435987,0,0,1.04692,0,0,0,0,0,0,27,248.791,0,9.48724,0.638992,279.222,484.64,0,0.532081,0,0,107.864,0,0,25.8572,175.788,0,0,2.06723,0,4.03207,2.76771,11.3225,577897,1364.28,0,0,0,0,5.09369,0,0,67.7401,93.2177,0,0
97.1551,0,0,0,0,1.13372,0,13.3652,20.1356,1.64786,0,2.93276e-05,0,0,0,0,0,0,1.00658,29,60.4773,1.85716e-06,155.968,0,323.433,558.79,162.948,0,0,0,111.378,0.461724,0,26.5058,159.6,0,0,1.07078,0,3.37862,0,56.1793,258080,1336.94,0,0,0,0,0,0,0,60.7112,16.2592,60.1723,0.631696
24.1255,0.852399,2.55204,0,28.1578,0,116.526,11.2625,14.3987,0,3.14735,25.2046,36.9915,0,4.58787,4.76874,0,2.93773,2.17696,23,104.79,3.67685,10.3116,0,181.699,307.528,17.3265,0,0,8.42791,173.186,0,1.81164,74.6716,204.441,0,0,0,0,0,10.4259,2.14578,2.13003e+06,1005.46,1.01754,21.8144,0,0.982472,0,0.697128,11.1127,38.5599,57.7054,16.4059,5.15058
10.932,4.623,0,3.67681,1.71936,1.05733,2.47797,8.16911,9.78819,6.87304,0,2.46942,2.77292,0,1.10009,0,0,0.872999,0,25,47.649,0,95.8447,20.595,233.939,392.874,5.45157,0,0,0,110.929,1.147,0,94.931,189.469,0,0,0,0,0,3.72662,4.63399,2.49437e+06,946.088,0,0,7.14245,0,5.08444,6.12341,0,13.85,20.9335,7.71013,11.1468
33.4984,0,0,0,0,39.832,0,10.4571,44.7905,0.000940814,0,0,1.06242e-06,0,0,0,0,0,0,21,25.5958,1.25204,34.1827,0,571.493,953.075,0,0,0,0,117.192,0,0,1.80058,76.219,0,0,0,0,0,0,9.95889,84166.6,932.725,0,0,0,0,29.3261,0,0,118.795,128.416,0,0
23.2541,0,0,0,1.77058,0,2.09389,0,84.3748,0,0,1.36891,0,0,0.634313,1.47143,0,0.113919,0,25,69.1142,0.811701,32.6049,4.48063,281.914,628.337,6.13704,0,0,0,107.411,0,0,50.6643,200.478,0,0,8.38531,0,0,12.1281,1.73489,525703,1117.15,0,0,0,0,0,5.33279,0,72.7637,14.2463,4.29151,0
17.7793,0,0,0,2.32652,0,0.540061,8.03703,24.8923,0.882808,0,0,0,0,0,0,0,0,1.74042,21,94.1093,4.04548e-06,4.74584,0,334.658,534.128,97.1655,0,0,0,138.467,0,3.12334,10.433,134.842,0,0,1.70637,4.73912,0,0,4.0691,2.62861e+06,965.427,0,0,0,0,0,0,0,45.2689,18.8373,23.3457,0
24.1505,1.86492,0,1.99198,49.845,0,3.65851,0.360378,28.5224,0,0.454928,0,0,0,0,0,0,0,0,27,93.7514,0,32.3693,0,316.797,575.691,75.4571,1.21224,0,0,125.689,0,0,55.5908,133.625,0,0,0.380168,0,0,5.83201,43.4249,928528,1189.15,0,0,0,0,0,0,1.06048,145.846,37.1565,25.8339,0
43.8017,0,0,0,0,0,1.02998,0,26.7122,0,0,0,0,0,0,1.8574,0.339886,0,0,21,177.127,0,32.4175,0,206.279,383.231,29.5337,0,0,0,108.459,0,0,20.0579,110.89,0,0,0,0,0.0944286,2.42726,0,350965,1070.62,0,0,0,0.0332451,0.387686,0.441411,7.85212,77.8604,10.6669,18.7913,2.47932
7.99878,11.5954,0,3.61197,9.11321,0,2.87345,1.42038,13.5107,8.0895,0,0,3.03657,0,0,2.8676,0,0,0,19,67.4663,5.54716,13.509,12.4475,271.639,524.159,0,0,0,0,110.311,0,5.23148,129.321,96.677,0,0,0.789587,0,0,0.209878,0,355442,973.654,0,0,4.00474,0,0,2.82213,0.0953397,11.1368,67.2298,54.7339,0
