"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
0,0,0.997651,3.57926,2.87829,0,92.2212,0,0,3.27608,0,5.0013,20.2775,0,0,0,0,3.76871,1.88585,25,85.435,40.9963,134.451,0,312.967,592.483,0,0.552016,0,2.50807,119.657,0,23.605,53.119,184.867,4.023,0,4.73358,0,0,0,3.89758,501323,1272.38,0,6.23491,0,0,0,2.26717,3.93334,70.175,329.348,132.239,0.075405
0,2.0998,0,0,6.86657,0,75.8417,0,5.78929,0,0,2.27229,34.2137,0,0,0.325787,0,4.3602,1.07087,18,119.906,2.63799,206.831,6.75694,297.702,675.061,0,0,0,0,126.134,1.38835,3.84183,14.9506,135.627,0,0,0.53766,0,0,0,0,2.10525e+06,883.112,0,0,0,0,0,0,31.582,52.5402,106.706,13.511,1.02756
0.788743,2.48317,0,0,0.841204,0.604641,104.528,0,0.395304,1.28451,0,0,24.1326,0,0.265275,0,0,6.19647,12.1405,28,84.2107,13.4501,71.3353,9.48924,354.226,601.463,0,0.255165,0.277854,0,112.563,2.49355,1.52531,21.8053,164.417,0,0,0,0,0,0,0,552145,1360.5,0,0,0,0,0,4.75601,3.83756,73.6348,280.817,60.7943,3.71125
1.26694,0,0,0,0,0,84.3717,1.57732,0,2.33921,0,0,14.8634,0,0,0,0,1.22288,2.67083,19,70.8801,32.1052,68.2546,10.3973,440.636,797.816,0,1.42491,0,0,94.672,0,7.3703,55.4917,76.405,0,0,0,1.19999,0,0,0,334828,912.019,0,0,0,0,4.28701e-05,0,38.3909,72.0014,382.787,4.40655,0
19.748,7.078,0,0.255672,13.5158,8.6806,26.2215,1.14997,3.98932,0.0207872,0.844073,3.66783,8.84063,0,0,0,0,3.62667,1.15177,16,51.506,30.7914,22.8141,0,167.21,336.987,4.57137,0.307914,0,3.27704,81.769,0,7.69,24.233,137.222,0,0,0.766609,0,0,2.86206,0,1.04334e+06,716.203,0,1.64177,0,0,0,0.787099,0,5.346,5.59797,2.28463,0
0,0,0,5.60838,0,0.075253,44.1466,0,0,0,0,0,22.7934,0,0,0,0,3.47065,3.36384,17,47.316,60.0835,90.4885,0,251.824,496.682,0,0.950491,0,0,84.8,0,4.782,9.911,86.236,0,0,0,0,0.423,0,2.58229,2.64374e+06,773.845,0,0,0,0,0,0,2.27409,46.879,95.2291,13.402,0
0,0,6.14205,0,1.09671,0,89.5974,1.37289,0,1.05198,0,0,24.1994,0,0,0,0,0,2.07388,16,61.359,27.3443,54.6187,6.653,421.616,695.95,0,2.46969,0,0,77.293,0,3.80801,1.452,109.741,0,0,0,0,0.822,0,0.896557,1.27028e+06,648.473,0,0,2.01564,0,0,0,0.240825,43.997,286.685,18.325,0
0,0,0.182781,0,0,2.58565,80.9652,0.960349,0,0,0,0,10.4436,0,0.614818,0,0,1.58133,7.95554,34,67.4099,27.9499,37.4747,0,409.791,752.859,0,0,0,0,122.857,0.166849,15.0083,47.7088,206.145,0,0,0.183459,0,0.424764,4.90477,0,347447,1435.95,0,0,0,1.90691,0,0,8.77749,57.9198,362,42.8398,0
0,0,1.23096,1.91868,3.90063,0,101.877,0,0.916568,0,0,0,14.6726,0,0,0,0,0.17259,0.427226,16,74.089,12.7517,173.669,0,262.366,599.729,0,0,0,0,90.393,0,0.38997,14.001,87.956,0,0,0.184756,0,1.073,0.857953,0,625221,654.398,0,0,0.0449357,0,0,0,34.8294,74.33,347.893,19.3711,1.74007
0,0.703584,0,0,0.428121,0,158.62,1.35196,0,0,0,0,24.0504,2.84238,0,0,0,0.869235,9.5624,24,61.5597,39.9528,87.261,15.1765,425.232,801.79,0,0,0,0,143.516,0,9.82609,41.8547,100.369,0,0,0.55858,1.70172,4.16815,7.68795,6.21454,1.22444e+06,1173.29,0,0,0,0,0,0,12.2186,95.0928,367.352,63.5681,0
0.237623,0,0,0,0,0,151.017,0,0,0,0,0,34.0603,0,0.829652,0,0,10.7836,0.699442,21,140.118,61.9072,154.628,5.59358,292.111,485.973,0,1.55196,0,0,129.047,1.77526,11.2358,21.6199,96.949,0,0,0,0.638028,0,0.763994,7.6514,37042.1,977.299,0,0.086084,0,0,0.000213364,0,53.2346,96.2282,201.567,144.344,0.695322
0,0,2.14502,1.3985,0,0,78.5327,0,0,1.9891,0,0.690998,49.4507,0,0,0,0,3.1454,5.87885,20,192.813,23.0163,143.126,9.21067,346.608,503.219,0,1.56036,0,0,103.857,0,9.05527,35.5195,84.28,0,0,0,2.71173,0,0,0,1.05801e+06,940.971,0,0,0,0,0,0,16.799,68.719,243.937,36.9658,1.99001
1.148,6.088,0,4.62065,0,0,114.29,0.588098,0,0.882238,0,1.39377,40.5301,1.50344,0,12.5167,0,0,7.49673,22,70.157,24.8352,222.52,4.961,233.052,494.361,0,2.15467,0,0,130.555,1.308,6.291,25.172,175.297,0,0,0,0,0,3.46392,0,966010,1163.3,0,0,0,0,0,4.64689,2.60009,57.486,167.967,32.9908,0
0.820548,0,0.917753,0,4.19817,0,108.859,0,0,0,0,0,25.0852,0.467571,0,0.0746628,1.29566,8.07367,14.9547,32,95.1741,93.0343,63.0307,0,391.499,770.172,0,3.36611,0,0,114.055,0.439538,36.7589,40.4352,171.651,0,1.5511,1.87247,0,0,0,0,2.72948e+06,1459.62,0.963181,0,0,0,0,0,24.7648,59.7331,182.844,45.9656,1.54651
0.791,0,0,2.08979,1.37978,0,135.709,0.810218,0,0,0,0,14.8244,0,0,0,0,0,3.27184,19,95.722,42.7246,132.72,0,299.491,573.629,1.24776,0,0,0.412758,113.562,0,7.62096,3.676,116.771,0,0,0,0,0,3.08594,0.539581,325809,814.505,0,0,0.253706,0,0,0.0582486,3.66088,91.199,316.838,2.2001,0
0,0,0,0.399947,0,0,85.6273,0,0,3.12143,0,0,18.8986,0,0,0.917657,0,2.08636,0.0354816,23,75.984,27.1642,140.104,0,336.581,644.334,0,2.57113,0.289963,0,118.112,2.00434,17.4901,9.65175,120.27,0,0,1.60162,0,0,0.551442,0,668234,1096.79,1.34661,0,0.223167,0,0,5.6872,6.10374,68.2052,322.801,31.1384,0.532433
0,0,0,0,0,0,81.8745,0,0,3.22787,0,0,24.8509,0,0.867181,0,0.227529,3.50129,6.23831,23,66.7454,46.9777,109.804,1.23924,605.713,1045.39,0,0,0,0,100.414,1.96916,6.96032,31.6741,79.999,0,0,2.82938,0,0.214671,0,0,44698.8,1139.78,0,4.80885,0,0,0,0,18.2285,96.163,423.61,6.74044,0.424404
0,0,0.819725,0,0,1.18151,33.712,4.80337,2.28061,0.949935,0,0.0669151,36.2196,0,0,0,0,5.95698,2.31761,21,66.012,28.9015,228.01,5.539,234.188,357.984,0,0,0,0,116.552,0,7.08492,15.789,111.829,0,0,7.63158,0,0,0,0,1.29696e+06,897.292,0,0,0,1.14036,0,0,24.4387,64.496,161.255,8.71782,0.607031
0.671331,0.332463,0,0.876058,0,0,78.3696,0,0,5.89049,2.35503,0,23.8277,0,0,0,0.402553,11.3883,2.13197,20,117.867,81.6313,69.3383,0.266211,342.493,666.654,2.54303,4.73972,0.680081,0,83.13,0.339961,23.755,44.5754,95.452,0,0,1.31533,0,0,0,1.99579,1.20235e+06,962.262,0,0,0.0688346,0,0,3.86425,3.15694,104.228,313.333,23.8591,4.74209
9.096,14.546,0,0.488284,25.8465,0,112.34,3.73371,3.65123,1.10054,0,0,11.6864,1.49907,0,1.97762,0,0.702482,1.054,24,45.083,0.356733,51.234,12.149,175.05,383.044,0,0,0,1.31307,134.561,0,7.05295,46.731,192.103,0,0,2.41919,0,0,10.5288,0,658.411,1007.56,0,0,1.05226,0.329224,0,0,17.1543,8.11,87.8695,0,4.09271
0,0,0,3.32078,0,0,101.69,0,0,3.45396,0,0,19.9609,0,0,0,0,6.95144,1.68691,26,75.992,13.3899,143.917,8.285,175.203,389.412,1.81103,0,0,0,121.242,0,0.145959,20.062,144.642,0,0,0,0,1.166,0.754195,1.07152,417655,1143.97,0,0,0.321683,0,0,0,7.46289,86.367,318.03,8.40688,7.50492
0,22.1036,0,0,0,0,111.285,1.34151,1.37659,0,0,0,13.9076,0,0,0,0,21.9587,3.20538,24,267.762,68.1343,86.2613,0,417.478,733.808,0,2.17689,0,0,95.284,2.03366,4.04065,52.3676,85.235,0,0,0,5.01962,0.833198,2.18428,3.60421,56567.6,1200.09,0,0,1.49311,0,0.437646,0,39.371,84.346,328.102,53.7931,0
0,0.31,0,0,1.1543,0,101.794,1.06133,0,2.76434e-05,0,0,14.4964,1.79876,0,0,1.05,0,5.70372,19,49.322,5.28833,97.4466,0,215.154,546.202,0,0,0,0,119.509,0,1.63996,18.265,103.699,0,0,4.74696,0,0,0,0.934885,2.60169e+06,856.875,0,0,0,0,0,0,55.5177,96.5,276.838,32.8855,0
