"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
0,1.64875,0,0,0,42.789,1.06141,1.37805,0,0,24.2812,0.367186,0,0,0,18.9633,0,0,0,19,68.3732,2.76827,176.684,0,448.013,882.147,43.6321,0,0,0,74.281,0,0.670056,11.3691,66.19,0,0.282928,0,0,0.786652,48.3907,5.6414,487819,764.596,0,0,0,0,0,1.75918,0,98.8729,967.299,13.7216,0
0.101278,0,0,0,0.583584,44.5532,5.73467,0,0,0,11.806,0,0,0,0,4.56858,0,0,0,16,169.622,0,12.4094,5.38344,267.591,623.633,0.722662,0.982219,0,0,81.334,2.50632,2.90772e-06,13.4264,71.19,0.0602483,0,0,1.19869,0,85.5691,0,2.08238e+06,827.176,0,0,0,0,0,0,2.1078,69.9747,178.339,0,0
0.665019,0.939589,0,0,0.523657,58.515,3.59938,2.18482,0,0.404984,42.0409,0.341299,0,0,0.0921737,0,0,2.10926,0,16,101.711,0,44.4936,1.2238,375.982,651.782,0,0,0.695719,0,131.659,1.48572,0,8.57926,96.454,0,0,0,2.51335,1.05412,11.4709,1.51099,861307,686.269,0,0,0,0,2.52207,0,2.87198,37.0809,121.794,0,0
23.2676,0,0,0,0,23.8468,0,0,6.38664,0,9.72898e-05,0,0,0,0,0,0.952007,0,1.25833,18,80.9293,9.95693e-06,0,0,363.931,757.522,0,0,0,0,80.156,0,0,13.7555,83.903,0,0,0,0,0,0,79.6123,55042.8,847.998,0,0,0,0,14.238,0.0359943,0,135.375,106.28,4.3651,0
0,0,0,1.86399,1.17004,6.09138,3.8849,0,0,0,0,0,2.35561,2.22347,7.7528,0.822307,0,0,0,20,87.8661,0,114.852,6.02978,277.264,624.105,0.238649,2.60239,0.912511,20.9924,121.559,0,0.857806,20.5009,104.425,0,0,0,2.72107,0,0.225071,0,1.09053e+06,855.922,0,0,0,2.63374,37.6798,3.92895,0,119,71.1212,1.15315,0
0.376743,0.967391,0,0,0,82.3905,0,0,3.68215e-05,0,36.5479,0.933526,0,0,1.80418,0,0,0,0,26,583.834,0,10.9122,12.184,263.811,523.069,0,0.336946,0.406562,0,77.491,0.622213,0,11.552,89.674,0,0,0,2.0882,2.71147,54.3958,0,1.28904e+06,1154.52,0,0,0,0,0,0,0,69.878,92.0604,0,0
0,0,0,0,0,52.3966,0,0,5.77986e-06,0.723839,15.368,0,0,3.28074,0,0,0,1.57445,0,26,34.605,0.5736,24.4944,0,195.832,408.711,0,0,0,0,93.314,0,0,2.431,281.771,0,0,0,0,0,111.219,0,2.52435e+06,1423.83,0,0,0,0,0,3.43218,0,9.912,100.626,0,0
0,0,0,1.29572,0,37.0903,4.76542,0,0,0,6.03687,0,1.83693,0,0,0,0,0,0,28,53.166,0,9.38387,0,192.14,354.903,9.27552,0,0,0,197.644,0,0,11.073,294.944,0,0,0,0,0,33.6927,2.81094,123308,1328.67,0,0,0,0,0,4.1147,0,19.708,62.9896,8.19413,0
0,2.5163,0,0,0,5.0235,0,0,0,5.89728,0.670241,0,0.323027,0,0,10.4397,0,1.04263,0,23,246.189,0,0,0,253.865,476.224,0,0.713514,0,0,104.455,0,0,1.34909,131.78,0,0,0,0,0,41.5413,0,2.08786e+06,1136.24,0,0,0,0,0,0,0,59.8735,275.95,0,0
0,0,0,0,0.726288,13.227,0,3.62529,5.92628e-06,3.83842e-06,0,0,0,0,0,0.959178,0,1.22497,0,25,153.351,0.646608,30.9482,4.28137,160.767,406.061,0,0,0,0,131.871,0,0,0,211.476,0,0,1.24264,0.574402,0,0,0,122992,987.482,0,0,0,0.234965,0,0,0,45.148,31.4792,3.4162,0
