"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
1.9528,9.84879,0,0,0,0,66.0274,0,0,6.3155,0,7.30722,0,0,16.0741,0,0,0,0,17,154.938,0,12.4272,0,187.518,347.904,0,3.4644,0,0,148.108,0,4.16388,4.20396,156.237,0,0,0,0,0,3.31456,0,1.54161e+06,666.716,0,0,0,0,6.13909e-05,0,0,21.1218,18.4188,0.63276,0
0,88.5896,0,0,20.1771,0,10.6029,0,0,9.02648,0,0,4.18054,0.710087,20.4069,0,0,0,0,31,505.667,0,113.406,13.6112,196.818,449.476,0.883219,0.785477,0.464806,0,128.443,2.62493,0,15.3288,156.838,0,0,0,0.973487,0,0,0,2.27812e+06,1602.14,0,0,0,0,0.799315,0,0,27.563,25.0922,1.85297,0
10.6111,34.397,0,0,63.605,0,19.163,0,0,94.7823,0.59903,9.21607,0,0,3.03858,0,0,0,0,26,47.0719,0,85.5804,0,375.814,667.623,0,0,0,0,123.811,0,0.494945,179.756,171.129,0,0,0,0,0,0,0,824973,1182.73,0.115333,0,0,0,0,0,0,78.9177,80.0907,23.1914,0
0.591615,49.89,0,0,21.8131,0,4.89474,0,0,4.84682,0,0.815086,0,0,0,1.77605,0,0,0,19,42.3105,0,17.6684,7.06202,438.452,854.836,0,0,0,14.7828,104.478,0,0,45.2,112.432,0,0,4.07544,0,0,0,0,1.00424e+06,782.295,0,1.17137,0,0.519526,9.4966,7.90138,0.349853,24.359,31.5394,0.48234,3.98599
14.0408,18.8582,0.488164,7.47239,43.5491,0,0,0,0,219.253,0,3.71073,1.48874,0,2.44422,0.624376,0,0,0,18,67.8,3.31801,1.47717,0,238.853,538.551,0,0,0,0,111.439,0,3.27902,77.5206,96.405,0,0,0,0,0,0,0,1.41902e+06,870.757,0,9.81081,10.8923,0,0,15.3657,0,13.5986,74.6534,35.1522,0
0,15.3874,0,0,18.4757,0,22.7024,60.9887,0,319.847,0,1.81134,0.385284,0,22.1432,0.0581184,0,0,2.84952,30,95.1356,0.590405,30.0548,1.88343,289.874,558.826,0,1.36466,0,0,111.1,0.0231674,8.15977,19.646,162.261,0,0,0,0,0,1.02508,0,334342,1230.72,0,0,3.17111,0,0,2.60118,0,36.3881,22.0139,1.56564,24.5506
0.69794,36.7655,0,2.00321,17.0613,0,29.3008,0.751173,0,117.442,0,0,10.481,0,2.31525,1.00306,0,0,0,16,146.865,0.828038,135.42,1.596,218.179,599.204,0.191218,0,0.786592,0,102.74,0,0,26.458,83.183,0,0,1.43722,0,3.30941,0.969247,0,1.98679e+06,724.396,0,0,0,0,0.680949,40.5719,0,60.5661,71.5584,0,7.11113
4.28606,7.8427,0,5.60484,2.51072,0,179.303,0.803786,3.89417,149.536,0.228481,5.37764,13.1413,0,5.52328,389.992,0,10.8894,0,26,226.145,4.60946,290.524,3.26517,352.799,707.733,0,0,1.97204,0,112.218,0,11.4402,82.5098,113.101,1.23295,0,0,0,0,0,0,2.35921e+06,994.787,0,0,0,0.176444,0,254.075,0,281.749,256.962,44.927,0
0,41.385,0,1.02715,13.7902,0,115.56,35.5474,0,11.3538,0,1.51601,1.87806,0,9.60021,0,0,0,0,22,355.039,0,41.4122,0,279.934,509.442,0,1.05121,0,0,121.316,6.70635,0,42.0745,107.177,0,0,0,0,0,0,5.07345,2.63876e+06,1122.87,0,0,0,0,0,0,0,51.7304,37.1825,0,10.424
0,91.6399,0,0.56402,15.5649,0,27.7196,0.441032,0,263.468,0.0807478,13.2139,0,0,9.45758,0,0,0,0,19,80.2806,0,66.1059,7.20321,333.54,568.008,0,0,0,1.77608,124.899,0,0,7.54026,89.204,0,0,0,0,0,0,0,28683.6,877.531,0,0,0,0,0,0.568532,0,44.1857,77.4801,3.70409,14.4869
