"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
78.7997,0,132.708,0,0,5.8183,0,3.1316,1.34498e-05,0,0,0.117338,5.66144e-05,0,0.00744427,0.00166498,0,2.0051,0,20,77.9281,3.06859,161.653,0,247.409,455.127,0,0,0,0,121.915,0,0,13.8074,86.423,0,0,0,0,0,0,0,2.38688e+06,927.755,0,0,0,0,0,6.29601e-06,0.750807,140.59,0,2.79723,1.35525
123.976,0,108.622,0,0.670845,50.5439,0,0,0,58.3211,0,0,0,0.0392006,0,9.83626,0,0,0,20,102.084,0,0,1.608,252.665,445.978,0,0,0,0,127.467,0,2.97595,9.745,135.466,0,0,0,0.447,2.412,0.0604447,0,1.67914e+06,865.44,0,0.304899,0,0,0,1.42962,0,27.331,115.193,0,0
56.568,0.0425738,47.8354,0,0,47.5227,0,43.7912,0,0.337875,0,0,0,0,0,0.772779,0,1.6757,0,21,140.034,0.430248,64.6685,0,211.951,483.354,0,0,0,0,169.203,2.62301,2.01264,8.19375,136.835,0,0,0,0,0,0,0,1.03842e+06,1013.91,0,0,0.627699,0,24.1533,0,0,53.6132,16.9941,0,3.5275
96.0978,0,129.499,0,0.116037,72.4447,7.56546,1.03715,0,1.74258,5.94509,0,0,0,0,0,0,2.74655,0,20,95.5899,1.74055,4.45082,0.602657,197.804,447.802,0,1.55625,1.55627,0,118.652,0,3.9469,17.335,99.707,1.96426,0,0.0431637,0,0,103.797,0.778438,369522,1100.09,0,0,0,0,0,0.22509,0,48.5851,147.556,0,0
107.086,0.439463,133.505,0,2.3397,62.646,0,0,0,86.2141,0.569184,0,0,0,0,11.5005,0.291908,0,0,20,32.7965,0,2.01575,0,308.391,584.971,1.21539,0,0.0163648,0,149.972,0,1.1101,21.036,126.918,0,0,1.80379,0,0,0,0,640791,822.264,0,0.485631,0.952118,1.74196,0,0,4.52159,37.9986,91.3564,5.22902,0.81867
43.1702,0,126.302,0,0,18.9544,0,3.05938,2.29892e-05,0,0.22672,0.388493,0.959099,0,0.00554,0.0220942,0,0,0,22,102.246,0,60.6745,0,254.238,531.43,0,0,0,0,115.899,0,0.457051,3.69309,182.414,0,0,0,3.64201,0,0,0,112617,818.237,0,1.41482,0,0.000148107,0,0,0,83.0761,0,0,0
75.9182,0,159.397,3.36967,0.31934,92.1086,1.70535,1.5075,0,5.6845,0,0.909954,0,0,0,83.1269,0,0,0,23,400.571,0.715395,0,0,242.2,443.195,0,1.56165,0,0,97.815,0,3.7036,11.7964,137.278,0,0,0.682183,0,0,0.797843,0,1.17065e+06,1019.86,0,0,0,0,0,1.24438,0,83.3304,91.0303,2.4782,0
67.1854,1.92476,140.722,0,0.662841,43.2814,8.6191,0,0.72863,0,0,0,1.64767,0,0,79.388,0,2.66635,0,31,166.293,1.08606,4.86997,3.17316,267.976,435.582,0,0.462449,1.53246,0,148.088,0,6.8351,8.10059,172.209,0,0,0,0,0,0,0,598476,1383.6,0,0,0,2.36147,0,0.433864,0,44.2602,85.6813,0,3.8641
38.663,0,80.7539,0,0.821345,9.67032,9.42203,12.8377,0,0,0,0,0,0,0,62.7891,0,9.30986,0,29,116.282,12.0599,6.90834,0,260.46,540.511,0,0,1.23147,0,95.007,0,2.36694,12.9855,162.188,0,0,0,0.145445,0,0,0.761426,2.21964e+06,1456.52,0,0,0,0,0,0,0,144.711,1.01232,0,0.474768
71.0553,0,115.255,0,0,36.3784,0,0,0,3.8492,0,0,0,0,0,81.4938,0,0,0.153272,24,257.487,1.02828,2.41354,1.53383,268.521,639.985,0,0,0,0,114.612,8.05963,4.50636,19.918,119.327,0,0,0,1.5514,0,0,0,1.80668e+06,1275.85,0,0,0,3.90026,0.496801,3.07747,0,59.7656,166.991,0,0
