"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
0.835766,0,1.65507,31.6873,2.3497,0,0.490473,0,0,135.383,0,0,0,0,0,0,0.771567,3.38378,0,26,414.732,0,276.539,16.507,333.585,694.181,0,0,1.56292,0.373537,90.992,4.45314,0,28.8153,110.23,0.369188,0,0,0,0,0,0,740445,1267.11,0,0,0,0,11.2458,0,2.13262,164.132,151.615,334.186,1.23197
3.4815,4.18595,0,27.5969,44.5987,0,0,0,0,35.2627,0,0,2.75982,0,0.722016,0,0,0,0,30,411.193,0,201.834,12.3194,221.571,415.353,0,1.32566,0,0,87.563,0,0,71.2326,87.02,0,0,3.58862,0,0,0,0,1.19644e+06,1169.7,0,0,0,0,25.3819,1.20597,0,70.8503,73.5925,133.798,1.4468
1.032,0,0,21.7453,0,3.39923,0,0,0,162.673,0,0,0,2.91203,0,0,0,4.19573,0.875338,21,78.509,0,208.273,0.156,190.734,490.272,0,0,0,0,184.777,0,0,16.973,148.373,0,0,0,0,0,3.01628,0,1.92405e+06,1031.08,0,3.23506,0,0,3.5099,1.27693,0,91.412,80.2421,215.678,1.0239
1.21,0,5.45569,30.5081,0.956913,0,0,0.0791325,0,254.232,0,0.650033,0,0,0.783118,0,0,0,0,20,55.517,0,381.323,4.167,289.764,521.239,0,0,0,0,105.946,0,0.215999,0,108.56,0,0,2.03874,0,0,9.66601,0,852674,970.165,0,0,6.77497,0,36.9946,16.1351,0.862505,103.487,78.2192,105.733,0
0.871856,0,0,7.00758,0,1.56301,0,4.14816,0,435.127,0,2.74923,0.82984,0,0,0.77521,0,0.824865,0,25,143.784,0,322.759,0,222.032,513.276,1.08597,0,0,0,122.858,2.69587,0.506274,13.4564,122.032,0,0,0.33021,0,0,9.85237,0,584012,1070.21,0,0,2.46813,0,1.64242,122.18,0,220.263,156.577,385.826,4.20631
0,0,0,38.9277,0.366971,0,0,0,0,90.2238,0,1.3878,2.27165,0,0,0,0,0,1.39158,19,171.732,0.170609,151.55,3.88881,358.677,654.179,0.906042,0,0,1.15862,108.265,0,0.929613,16.81,48.655,0,0,0,0,0,0,0,624653,752.638,0,0,0,0,18.0291,0,0,122.682,112.44,276.807,0
0.416174,0.893693,0,58.9245,0.447557,22.0329,0,3.10212,0,24.3856,0,0,2.63575,0,0,0,0,0.783683,0,26,93.8957,3.25915,266.546,0,516.563,1019.88,0,0.0773577,0,0,109.538,0,1.46723,113.88,76.325,0,0.131655,0.490236,0,0,2.00778,0,1.02223e+06,1149.62,0,0,131.26,0,1.46933,39.4454,1.70024,132.949,795.378,867.497,5.1704
0,4.66511,2.72228,32.0075,0,0.0470082,3.97813,1.09024,0,31.8665,0,2.41237,2.20762,0,0.48583,1.23574,0,0,0.493303,27,499.699,0,239.303,6.65083,295.653,561.158,0.258073,0.322375,0,0,87.681,0,5.07596,21.3055,100.001,0,0,0.42682,0.962675,0,7.10064,1.15612,685359,1184.77,0,0,0,0,15.8502,0,0,196.307,237.519,625.31,1.05855
3.72777,0,0,25.9479,1.97106,0.809748,0.991866,1.41084,0,655.936,0.377131,3.28742,0,0,0,0.240535,1.09376,0,0.20217,21,199.552,0.095047,21.8179,0,255.631,446.432,0,2.76981,0.109723,0,125.319,0,0,13.3091,92.614,0,0,0,0,0,2.99711,0,1.77492e+06,947.206,0,1.40224,15.7321,0,3.66525,127.541,0,106.088,189.838,122.281,0
1.01294,0.137913,0,24.3476,7.09692,1.73643,2.65861,0.140007,0,280.424,0,6.37587,0,0,0.3887,13.8851,0,0,0.634083,23,131.682,0.256322,28.3976,4.23789,494.054,964.405,0,0,0.588944,0,102.189,0,4.83612,80.5435,56.719,0,0,0.460552,0,0,0,0,375412,996.448,0,1.29978,186.12,3.88448,3.33182,42.4237,0.27054,70.3475,52.0234,211.317,1.35828
