"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
2.3215,0,0,0.616113,0,0,360.68,0,0,288.75,0,0.883395,0,3.90431,0.953686,662.002,0,0,0,27,533.698,1.03052,277.251,0,525.388,907.269,0,0,0,0,99.501,2.97427,6.3359,55.5314,76.299,0,0,0,0,0,0,0.0521156,2.93226e+06,1317.9,0,0,1.91276,0,0,422.409,0.034164,443.413,457.237,0.699813,0
0,0,0,2.97188,0,0,271.231,0,0,733.685,1.66062,2.00858,0.801875,1.43507,0,600.051,0,0,0,18,111.635,0,546.678,0,579.8,1106.29,0,0,0,1.2834,101.447,0,6.54184,42.8722,66.109,0.805075,0,0,0.705624,1.90732,0,1.79606,11902.5,788.427,0,1.51831,1.91998,0,0,552.477,0,398.499,767.777,0,0
0,2.193,0,36.3648,1.01668,0.861299,117.906,22.256,0.120183,194.592,2.47902,0,14.0741,1.199,0,322.739,1.46177,1.55578,0.827172,26,156.171,0,263.423,0,378.334,718.57,0.750435,0,0.473456,1.86796,103.146,0,0.464239,33.2838,117.127,0,0,1.68136,0,0,0,0,1.61748e+06,1169.86,0,2.16602,2.25468,0,0,63.6305,0,245.604,235.515,96.456,0
0,0,0,9.25834,1.85129,0,95.2281,0,2.56961,229.489,0,2.15465,8.54978,0,0.338761,90.0986,0,0,0,23,105.247,1.94663,106.504,0.457315,185.46,421.275,0,0,0.813926,0,136.674,0,3.41067,22.8913,151.14,0,0,1.08888,0,0,5.84468,0,640894,1065.9,0,0,1.69614,0,0,67.1141,0,99.4907,96.7863,145.731,2.15117
0.753027,0,0,0.627966,0,1.42794,205.538,0.484264,0,592.648,2.04387,0,5.14772,0,0,233.612,0,3.46219,0,24,0,6.05818,89.9595,9.24518,108.33,226.41,0,2.22212,0,0.378562,117.134,0,3.83412,48.6546,124.026,0,0,0.446461,0,0,0,0,202058,1025.76,0,0.506549,0,0,0,94.934,0,189.877,408.924,0,0.413008
0,0,0,12.8042,0,0,217.359,2.03119,0.796877,279.982,0,0,2.30217,2.30874,0,419.061,0,0,4.1042,21,157.532,0,361.427,21.3926,422.605,806.613,0,0,1.06546,0,83.285,0,5.89982,41.5368,52.368,2.53792,4.4453,4.25183,0,0.864129,0,0,1.68857e+06,922.888,0,0,10.0111,1.39437,0,112.175,0.228333,167.493,264.247,0,0
0,0,1.24155,5.25151,0,0,21.9744,0,0,112.978,0.96584,0,0,0,0,290.257,0,0,3.30632,30,118.206,1.64512,207.035,16.9476,381.501,692.086,0,1.58271,0,0,118.906,0,1.63431,44.1042,103.923,0,0,6.22747,0,4.13633,0,0,251868,1364.63,0,0.656466,0,0,0,77.9345,0,99.1035,164.832,4.91764,6.44429
0,4.1347,0,0,1.48994,0,145.273,0,0,231.489,0,0,0,4.75003,0,304.808,0,0,0,20,122.978,3.13732,325.393,0,349.226,752.124,0,0,0,2.20246,113.793,0,0,29.7467,102.209,0,0,0,0.116773,0,0,2.94864,1.07045e+06,856.994,0,0,4.85415,4.41507,5.28455,115.864,1.95451,151.97,175.105,7.5973,0
0,0.73221,0,0,4.5559,0,104.947,2.56683,0,341.507,2.10023,0,0.680326,0,0,66.211,0,6.68851,0,29,84.33,5.34937,195.67,0.298935,321.818,652.855,0,0.334888,0,0,104.083,0.183182,0.184095,15.525,97.473,0,0,0,0.292884,0,0,0,1.69977e+06,1360.87,0,0,0,0,0,28.998,0,308.02,215.226,0.672993,1.96544
0,1.58158,0,0,0.680702,0,172.393,0,0,164.556,0,0.723152,4.74566,0,0,199.349,0.607493,0,0,27,69.6588,0,323.477,2.92379,511.833,959.873,0.301827,0,0,0,101.636,0,6.60381,51.7521,80.462,0,0,0,0,0,2.08479,0,753132,1390.82,0,2.6141,2.73641,0,0.407857,193.55,0.732053,196.097,223.763,25.7884,0
