"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
0,0,1.87261,3.98967,0,0,9.27776,0.248416,0,254.097,0,0,2.57649,0,2.7725,0,0,0,0,27,542.894,3.95136,196.735,4.02953,274.239,565.852,0.452082,0,0,0,97.418,0,2.25757,22.4749,104.126,0,0,0.473003,8.29942,0,0.398199,0,751750,1308.89,0,0.0322107,19.2197,2.94249,0,50.4592,0,138.414,189.217,222.081,4.09531
0,4.14952,0.558549,0,0,0,57.3203,0,0,291.402,0,0,0.939466,2.30826,0,0,0,2.22186,0,19,249.051,0.990857,909.117,0,324.559,605.928,0,0,0,0,66.852,0.85821,0.810333,71.9063,77.875,0,0,0,0,0,0,0,925152,699.91,0,0,0,0.317219,0,8.3988,0,18.2499,158.001,13.0439,0
4.66699,0,0,12.2632,0,0.463871,11.1687,0.278553,0,171.831,0.0569058,0,1.58288,0,0.902502,11.9064,0,0,0,22,107.771,0,406.322,0,259.13,469.211,0,0,0,0,147.085,0.616372,0.798953,12.5939,78.44,0,0,0,0,0,14.4259,2.98454,1.4763e+06,1120.75,0,0,1.25494,0,0,48.6632,0,86.4598,283.519,85.6526,0
0,0,0,60.9404,1.22436,2.22818,62.2545,1.56095,0,508.073,3.14877,1.32994,0.45787,0,0,68.6506,0,0,0,21,80.689,4.42469,149.232,0,321.956,684.992,0,1.93904,0,0,84.068,0,1.637,15.78,78.625,0,0,0.167044,0.846,0,14.2613,0,206813,925.92,0,0,27.1792,1.36282,0,283.756,0,268.694,337.283,700.946,2.13186
0,2.10341,0,0,0,0,42.9118,0,0,60.0831,0,0,0.279859,0,0,0,0,0.142255,0,25,141.891,5.40781,175.833,0,492.491,1011.54,2.39329,0,0,0,109.774,0,0,58.0933,84.541,0,0,0,2.46514,0,13.27,0.746822,42999,1238.11,0,0,206.101,0.871061,2.54761,35.9928,0,96.8271,38.2626,1072.71,5.5757
0.475074,3.4472,0,3.08651,0,0,57.8721,2.45643,0.439825,354.901,0,3.24768,0,3.32531,0.562102,2.29542,0,2.31962,1.63832,23,280.345,2.61973,445.27,0,513.601,996.09,0,1.10477,0,0,77.287,0,0.863093,23.0648,92.895,0,0,2.65569,2.71491,0,30.8838,0,1.58074e+06,985.358,0,0,520.812,0,0.307561,557.541,0,666.302,570.904,1455.97,3.27029
0.509286,1.21376,0,12.7312,1.52845,0,8.3753,0,0,186.588,0.109032,0,0,13.0365,0,38.1243,0,0,0,20,38.999,0.418875,135.048,0,642.093,1149.06,0,2.64247,0,0,70.487,0,3.62598e-06,20.9316,121.84,0,0,0,0.558048,0,11.0454,0.430941,759762,871.621,0,0.262593,4.67755,0,0.560215,135.336,1.90787,129.832,323.723,458.466,0.131807
1.461,2.375,0,2.93214,0,1.01678,57.6586,0,0,23.3685,0,0,2.87991,2.14601,0,0,0,0,0.349579,19,32.009,0,385.818,5.943,260.992,452.576,0,0,0,0,122.603,0,0,10.903,112.498,0,0,3.64088,0,0,0,0,1.08748e+06,779.47,0,0,0,0,0,46.7902,0,56.119,70.7951,16.5613,3.31915
0,0,0,0,0,0,7.58103,0,0,40.233,0,0,0,0,0,0,0,0,0,28,117.16,0,188.32,0,214.133,401.875,0,0,0,0,114.239,0.815097,1.76151,13.7743,254.233,0,0,2.99372,2.83323,1.01541,1.64671,0,1.60428e+06,1343.69,0,0,0,0,0,50.3432,0,86.4552,67.9439,123.412,0
0,0,0,0.513061,10.6008,2.74181,41.1659,0,0,40.8293,0,0,0,20.1995,0,0,0,0.263053,0,18,376.979,0,1448.46,0.368324,289.702,682.351,0,0,0,0,88.415,0,0.599803,0,76.751,0,0,0.513956,0,0,8.03202,0.343726,603830,832.105,0,0,0,0,4.31204,1.79907,2.05138,5.12069,180.156,53.0104,2.01315
2.54624,0,0,7.65644,0.591657,2.58458,20.8129,0,0,713.947,4.01631,0,0,2.18313,0,38.4892,0.19231,0,0,20,168.059,4.54828,252.581,0,294.619,551.586,0,0,0,0.430643,106.099,0,1.42621,16.6598,45.819,0,0,0.835719,0,1.55921,0,0.362788,2.06064e+06,870.958,0,0.197835,2.90279,0,0,30.1311,0,164.111,348.492,578.47,0
0,0,0,24.9576,0,0,14.8875,0,0,205.573,0,0,6.26561,0,0,0.391511,0.572,0,0,25,108.35,6.68621,81.4816,2.511,390.806,746.285,0,0,0,0,119.418,4.148,0.153985,12.658,119.108,0,0,0,0,1.318,2.97793,0,1.52688e+06,1191.44,0,0,45.2058,0,1.83117,87.2509,0,77.497,188.84,350.456,0
0,0.249487,0,0,0.994521,3.70609,19.0629,0,0,233.05,0.368894,4.66976,0,1.216,0,0,0.11005,0,2.3407,18,207.197,1.82333,1765.33,0,379.455,654.282,1.97761,0,0,0,72.328,0,0,26.8678,85.102,0,0,0.819342,0,0.712151,0,0.722583,398535,721.687,0,0.845455,3.4581,0,0,0,0,20.4896,205.978,12.8324,2.45749
0,0,0,77.084,0,0,81.2206,0.165873,0,288.528,3.50905,0.611332,2.39577,2.43526,2.75197,30.0749,0,0,3.68821,21,74.362,0.663434,200.27,0,384.816,763.272,1.2352,0.982261,0,0,87.219,0.425,0.559,22.285,85.945,0,0,2.90733,0.073,0,30.9974,0.161382,1.58463e+06,928.241,0,0,123.137,0,0,108.489,0,182.072,294.515,499.143,0
0,1.159,0,0,6.59563,1.34018,72.5779,0,1.93027,222.344,0.271128,0,0.354269,0,0,0,0,2.59066,0,23,73.728,1.1836,263.718,0,289.651,494.02,2.13633,0,0,0,115.589,0,0,13.158,117.873,0,0,0,2.52,0,14.3858,0.316634,811717,1074.16,0,0,69.1686,0.991533,0,9.28292,0,271.901,165.176,493.904,0.253955
0,0.361,0,0,0,0,15.6573,0.267178,0,76.6182,0,0,0,2.53998,0,5.53081,0,1.76465,1.00608,19,54.014,0.191057,336.58,2.404,379.223,716.239,0,0,0,0,107.025,0,1.04597,63.601,56.359,0,0,0,0,0,18.1289,0,2.62857e+06,832.388,0,0,216.967,3.42922,0,21.6049,0.959332,236.043,45.2455,645.086,0
0,0,0.351489,23.3634,0,0,118.775,2.35195,0,246.214,0,0,13.8062,0,0,176.323,0,0,0.322522,27,101.141,0,121.56,3.45499,354.538,742.812,0,4.20714,0,0.805637,105.685,0,3.29615,51.5698,61.87,0,0,4.41785,0.325226,0.317834,15.6199,4.44194,976043,1318.41,0,0.110202,0,0,0,81.4535,0.369994,215.717,142.262,609.682,0
0,0,0,0,0,2.57156,56.7243,27.5371,0.361551,70.9559,0,0,0,0.65286,0,0,0.202463,0,0.16723,21,79.436,0,619.99,12.0955,418.405,842.105,0,0.914959,0,0.770975,109.105,0.79073,1.6781,12.7968,102.31,0,0,0.467394,3.13852,0,15.2296,0,1.00106e+06,1003.72,0,0.472521,1.65966,4.98449,0,201.193,1.64736,197.264,258.566,55.5787,0
0,0,0,8.03695,0,0,9.6761,0,1.67445,162.358,0,0.70027,0,0,0,0.18134,0,0.463804,0,25,22.33,5.33458,106.082,2.5355,666.447,1212.92,0,0,0,4.82465,124.709,0,1.71897,41.001,102.699,0,0,0,0,0,5.59858,4.19435,1.16525e+06,1158.5,0,0,315.363,0,1.82145,94.976,0,105.641,129.138,247.118,3.59475
0,0,0,16.9853,0,0,7.93171,0,0,607.769,0.726644,0,0,0.0397728,0,0.316639,0,0.741087,0,22,128.166,0.153356,72.8839,5.8644,233.634,460.508,0,0,0,0,120.944,0,0.0144908,35.7313,100.212,0,0,0.156963,0.918667,0,0.978443,0,1.55127e+06,933.652,0,0,30.5262,0,0,29.9066,0.403403,72.452,227.858,159.307,8.48406
0,0,2.28074,24.4988,0,0,9.46566,0,0,798.748,2.86089,0,0,7.01392,0,0.0837838,0,1.25555,0,28,98.0672,5.27044,8.21876,0,200.134,460.949,1.6952,0.679635,0,0,149.428,3.49947,2.13023,0,135.072,0.994508,0,0.969032,0,1.67948,0,0.744334,138024,1280.15,0,0,7.64215,1.89621,0,32.3144,3.83678,29.3666,44.082,87.4087,0
2.824,0,1.16159,3.42154,0,29.3328,18.1593,3.17558,0,836.052,5.59828,2.16228,0.132048,0.730592,2.3714,0,0,3.34726,3.51183,27,107.802,0,201.339,0,389.967,831.698,0,0.928888,0,0,124.844,0,1.892,44.749,92.7,0,0,0.974325,0,0,8.87682,0.401834,2.51425e+06,1197.59,0,0,98.7124,19.3046,0,203.288,0,185.401,463.865,496.418,0
0,1.15303,0,0,0.204057,0,94.0663,1.47999,0,126.733,0.958312,4.14898,1.59332,0,0.807414,0,0,0,0,27,261.046,2.28778,300.135,3.52078,790.444,1478.84,1.86126,0.679272,0,0,100.034,0,0.771445,33.9873,60.986,0,0,4.49418,0,0,24.5504,0,1.17035e+06,1342.97,0.55524,0,67.5223,1.55529,0,18.5403,0,110.278,234.186,1692.05,2.02608
0,0,0,2.41433,1.27403,1.96378,53.3875,0,3.38562,119.561,0,0.641367,7.68691,0,0,4.98921,0,4.65908,2.26878,19,237.881,5.68919,338.722,0,498.927,1115.59,0,2.04931,0.460841,0,80.396,0,3.70079,12.1113,55.659,0,0,0.470027,1.92152,0,30.3748,0,56632.9,881.044,0,0.511008,319.419,0,0,17.213,0,167.357,221.708,1090.8,0
46.4294,0,0,13.7309,2.66501,64.8698,122.983,0,0,518.843,29.734,0,0,0,1.95766,132.475,0,2.27366,0.144415,24,256.657,0.1324,266.539,11.9171,524.626,1078.69,8.99885,2.21699,0,0,58.193,0,0.0265387,101.766,112.177,0,0,0.883377,0,0,64.6767,0,2.15736e+06,1367.55,0,0,0.77489,0.361077,0,137.056,0,216.776,449.016,405.58,0
0.673202,5.19202,0.686838,35.9395,2.86111,0,101.9,0.281256,0,238.228,0,0,14.481,33.0557,0,196.026,0.948127,3.27371,0,30,94.1665,2.54483,463.472,9.49258,331.878,753.002,0.92751,1.12067,0,0.889348,110.458,2.14505,2.52209,12.5535,123.429,0.569427,0,0,0,0,20.8908,0.468548,1.9248e+06,1370.59,0,1.34019,6.78706,5.11234,0,114.803,0.575822,324.972,190.858,670.397,3.96446
0,2.0145,0.525146,4.30664,0.330461,0,8.08481,3.47566,0,226.906,0,0,0,0,0,2.67843,0.77831,0,1.61545,22,250.904,0.497661,317.948,4.56395,432.111,812.734,0,0,0,0,58.974,0,2.87215,86.9455,89.609,0,0,0,0,0,0,0,1.9911e+06,1254.57,0,0,19.7637,0,0,177.436,0,210.463,351.633,369.084,1.01183
0,0,0,5.89042,3.44998,0,5.94333,2.23339,0,519.443,2.29887,0.496368,19.8518,0,0.796653,0,0,0.457199,0.336004,25,77.3907,0.657996,36.6538,0.0223424,296.675,507.485,0.878256,0.158355,0,0,110.345,0.627886,0,16.8122,138.434,0,0,0,0,2.55341,4.07207,0.777546,1.34614e+06,1250.38,0,0,24.9527,0,0,23.0655,0,65.5386,343.585,82.1596,0
