"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
124.82,0,0,0,0,11.8452,0,7.87287,22.1182,2.32972,2.89991,0,0,43.9129,1.6348,9.26877,0,0,0,26,333.207,0,0,8.61746,286.996,604.141,0,0,0,0.847325,142.777,7.17288,4.94195,31.3202,141.128,0,0,0,0,0.707127,0,2.28626,742282,1235.94,0,0,0.368466,2.7534,0,0,0,59.982,220.298,0,0
78.282,0,1.75932,0,1.42518,35.6538,0,4.70186,17.6531,0,17.9261,0,0,77.2196,0,0,0,0,1.90979,18,82.821,0,397.969,0,267.475,476.55,0,0,0,0,120.892,0,0,10.846,98.132,0,0,0,0,0,0,0,2.42543e+06,824.061,0,0,0,0,0.89795,0,2.13872,52.918,77.168,0,1.35445
72.6648,0,2.41018,0,0,9.44757,0,40.4338,76.985,0,0,0,0,140.423,0,0,0,0,0,31,206.028,0.94303,134.514,0,679.626,1154.96,63.6842,3.93875,0,0,86.005,0,12.2728,16.5928,119.786,0,0,0.544758,0,0,4.45458,3.26352,993338,1751.63,0.676849,0.168664,0,0.176832,0,1.70102,1.09014,175.229,33.7755,9.39861,0.850974
44.5784,0,0,0,0,8.79033,1.508,0,12.0082,1.68964,0,0,0.436238,93.6961,1.92198,1.1944,0,0,0,33,547.621,0,0,0.970587,273.955,507.059,0,0.75167,0,0,114.812,0,7.62422,13.027,174.319,0,0,0,0,1.53206,0,0,1.23121e+06,1616.64,0,0,0,1.79657,0,2.45451,0.957826,78.7326,154.504,2.21633,0
50.2074,4.65383,1.1112,0,2.19128,1.87879,0,0,23.2694,0,0,0.134863,1.04383,129.311,1.22473,3.78656,0,0,0,26,434.849,1.74697,0,8.67284,234.852,412.417,0,0,0,0,94.202,0,0.64713,16.5342,134.836,0,0,1.01187,0,1.89588,2.11326,0,917511,1316.36,0.826849,0,4.07996,0,0,6.56882,0,96.4149,131.703,3.66187,0.939935
27.756,0,0,0.600948,2.39801,7.35649,0,0,20.6674,11.3179,0,0,0,68.2023,0,9.49832,0,0.686494,3.46075,19,77.906,0,333.986,0,242.333,404.3,0,0,0,0,104.311,0.861,1.48775,12.37,117.292,0,0,0,1.323,0,0,0.770795,1.1315e+06,828.241,0,0,0,0,0,3.94396,0,46.456,96.2976,5.27989,0.688002
32.4144,0,0,0,0,2.57787,1.76467,0,10.2598,1.0976,0,0,0.17626,73.3123,0.817829,0,0,2.93097,0,30,78.3431,0,0,4.343,292.327,541.197,0,0.522337,0,0,107.029,0,6.94407,14.8037,261.93,0,0,0,0,0,0,0.798282,1.17691e+06,1609.34,0,0,0,0,0,0,1.6728,146.827,205.164,0,0
125.806,13.7003,0,0,2.60297,41.7089,0,41.4554,15.3388,4.66077,0,0,0,162.826,0,0,0,0,0,26,112.207,0,37.8853,0,447.13,693.201,0,0,0,0,97.104,0,2.01586,106.772,141.976,0,0,1.24464,0,0,0,0,180047,920.411,0,2.04718,0,0,5.20238,0.341014,0,82.0415,43.3723,0,4.41957
91.1392,1.8481,0,0.607622,3.36159,5.24733,0.482972,0,10.901,0,0,0,0,56.1172,0,0,0,0,0.1268,19,50.8444,1.0764,42.6734,0.181612,360.235,700.783,0,1.35237,0,0,118.671,2.26631,0.172718,13.0258,91.602,0.219305,1.05083,0,1.77043,0,0.259613,0,2.40435e+06,746.642,0,0,0,0,0.780892,2.13597,0,134.718,31.1279,0.240486,0
24.8337,0,0,0,1.4559,42.3971,0,0,10.1695,0.898793,0,0,0,61.2237,2.64417,1.70198,0,1.78114,1.58324,24,69.0323,0,98.4293,0.323174,309.249,652.875,501.282,0,0,0,105.748,0,3.37576,21.3408,73.169,0,0,0,0,0,0,0,30642.7,1279.88,0,0,3.38521,0,0,0,2.58982e-05,66.5896,129.363,0,0
48.3698,0,0,0.813918,0,38.2626,0,0.684375,31.8956,0,4.15921,0,4.27655,101.392,0,232.418,0.00967469,0,0,21,244.21,5.28607,17.7672,0,497.706,976.251,9.38186,0.623332,0,0,102.313,0,10.0528,19.642,100.209,0,0,3.53514,0,0,0,0,338160,1027.98,0,0.351986,0,0,0,0,0,94.9222,334.489,0,0
60.3631,0,0,0,1.83553,31.7281,1.66749,27.2229,13.8143,0,0.37083,0,0,68.7013,0,0,0,1.9498,0,19,50.9238,0.560967,4.71197,0,334.315,672.109,0,0,0.0894536,0,108.09,2.12415,2.41501,12.9613,121.517,0,0,0,0.141409,0.0806552,0,0.826019,162146,782.953,0,0,0,0.764825,0,0.139193,0,72.6421,12.7297,2.23337,2.65555
20.7322,0,0.634912,0,2.20131,1.39432,0,11.8217,24.2747,1.97788,0,0,0.641685,100.51,0,0,0,0.0197203,0,31,76.2532,1.41495,1143.45,0,314.238,580.678,0,1.67612,0,0,178.007,3.63865,7.87275,5.49411,136.798,0,0,0.865664,0,0,0,0,733790,1492.13,0,0,0,0,0,0,0,27.8375,73.6315,0,2.7051
20.6494,0,2.79719,0,0,94.3655,0,2.55709,14.1312,3.67277,0,0,3.24723,95.842,0,0,0,0,0,30,156.254,0,33.3543,0,221.225,591.907,0.730172,0,0,0,155.449,0,1.00031,14.6869,197.248,0,0,0,0,0.386189,0,0,1.783e+06,1480.72,0,0,1.03527,0,0,4.10046,0,91.6164,111.85,2.11589,0
23.0871,0,0,0,0,13.3504,0,1.0074,12.0187,0.000401162,0,0,0,87.4891,0,14.2684,0,0,0,19,46.6428,0,0,0,243.138,436.191,0,0.190526,0,0,118.764,1.51348,1.15251,10.7057,142.249,0,0,0,0,0,0,0,1.28596e+06,870.232,0,0,0,0,0.137981,0,0,77.9457,172.871,0,0
67.647,17.3729,0,0,0.311816,18.6417,0,23.1737,9.85985,2.27487,0,0,0,127.133,4.98263,0,0,0,0,22,157.145,2.66487,11.26,0,259.584,467.873,0,0,0,0,124.113,1.04921,1.30062,89.0857,161.632,0,0,0.607847,0,0,0,0,959740,958.846,0,0,0,0,0.671593,0,0.761347,80.0792,31.0606,0,2.58776
87.224,15.9676,0,0,22.1571,11.7331,0,8.32006,13.1284,6.61001,0,0,0,98.0315,0.253671,0.582234,0,0,0,25,152.678,4.87029,14.6368,4.54707,504.224,1042.86,15.9781,0.467561,0,0,104.693,0,8.27678e-06,92.6964,99.184,0,0,1.8624,0.999287,1.77232,0,0,105163,1058.32,0,3.28123,0,0,0,0,0,107.715,37.855,13.9234,3.25415
65.1341,0,0,0,0.00796627,0,0,1.24213,25.015,0,4.25942,0,1.38814,84.5613,0,15.5868,0,0.536572,0,21,69.5635,0,42.5191,2.44118,202.279,449.531,0,0,0,0,138.826,0.940468,0.145407,2.84839,139.365,0,0,0,0,1.63418,0.282119,0.594809,1.55536e+06,911.537,0,0.0871871,1.21158,0.0012774,0,0,0,52.3616,70.623,0.753788,0
61.887,0,0,0,0,0,11.5741,0,11.4079,1.03952,0,0,1.40486,56.6947,0,11.6582,0,0,0,23,85.843,2.02472,0,7.677,496.106,891.266,0,0,0,0,102.169,0,4.39677,15.267,130.227,0,0,1.99746,4.005,0.038,0,0,1.0382e+06,1026.81,0,1.39674,2.02564,0,0,3.36838,0,51.079,60.2224,0,0
