"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
63.5714,0,0,0.0913413,0,25.4715,0,39.985,0,0,0,0,0.182326,0,0,0,0,0,0,26,88.1202,0,24.1538,3.74892,313.671,654.789,0,0,0,0,111.644,0.523785,2.72167,12.589,186.31,0,0,0,0,0,0,0,360123,1074.39,0,1.51145,0,233.897,4.63076,2.83993,0,70.0978,24.9055,0,7.14245
87.0607,0,0,0,0.960717,36.081,0,70.569,0,0.714576,0,0,0,0,0,0,0,0,0,21,76.8871,0,24.9412,1.94671,388.584,639.954,0,0,0,0,184.364,3.88767,0.502964,4.77956,148.27,0,0,3.26536,0,0,0,0,2.193e+06,923.272,0,0,0,228.848,0.0128373,0,0,65.2023,30.8874,3.55283,0
48.68,0,0,0,1.18945,21.2369,26.7652,77.5496,1.83378,0,0,0,1.88383,0,0,0,0,0,1.65276,23,126.258,3.29785,24.2153,3.802,506.323,962.375,9.95914,0,0,0,104.074,0,3.29499,5.582,99.032,0,0,3.11005,0,0,7.18073,2.37232,2.85542e+06,1078.81,0,2.81026,0,311.567,7.211,0,443.97,105.623,141.152,231.947,0
57.24,0,0,0.937779,0,14.9956,0,73.6421,0,2.58768e-05,0,0,5.67348,0,0,10.4637,0,0,0.662408,20,25.671,0.386653,27.9627,0,226.983,361.42,0,0,0,2.54335,123.161,0,0.387928,11.971,177.068,0,0,0,0,0,1.52535,0,797391,925.428,0,0,0,323.808,3.11965,0.0820792,0,102.69,27.1767,0,0
100.491,2.02052,0.439972,0.592694,1.3682,41.7907,12.9494,75.6767,0,0,0,0.188328,0,4.01776,0,0.195984,0,0,0.710065,28,666.139,0,27.4344,8.23107,660.895,1121.59,1.3936,3.00531,1.21162,2.74633,118.102,0,22.7328,5.72231,82.376,0,0,0,0,1.65875,0,0,1.97669e+06,1262.75,0,0,0,322.043,1.8586,2.62233,497.628,168.077,142.373,229.138,0
78.9003,0,0.744988,13.6821,0,9.86783,3.48535,32.7704,6.3041,8.28566,0.900087,0,19.8421,0.111332,0.254995,24.3118,0,2.32884,0,21,174.552,1.35207,67.8334,8.02233,292.374,580.655,0,0,0,0,154.002,1.07333,1.23344,17.6926,132.873,0,0,0,2.13108,0,0,0.0445967,46907.4,1092.16,0,0,3.66925,274.631,3.0392,80.9716,2.28426,164.154,217.159,6.7298,7.41103
28.7969,0,0,0,0.155378,26.47,0,60.7173,0,0,0,0,0.343769,0.828086,0,8.34201,0,0,0,30,834.037,0.623519,216.23,13.5593,238.628,454.378,0,0,0.323795,0,112.226,0,0.956732,17.9928,130.878,0.46187,0,0,0,3.29557,0,0,2.78674e+06,1283.43,0.864612,0,0,129.996,0,0.180345,0,81.5145,23.5258,0,8.39426
66.8703,0,0,0,0,41.2651,4.59198,67.4014,0,0,0,0,0,0,0,0.800222,0,0,0,17,109.409,0.765447,32.4813,1.16786,221.905,506.868,0,0,0,0,96.925,0,5.16968,2.32379,111.349,0,0,0,0,0,0,0,518275,743.933,0,0,0,162.74,13.5662,0,0,119.128,26.8793,0.0353631,0
56.402,0,0,0,0,31.831,0,12.9376,0,6.70319e-05,0,6.13697e-06,0,0,0,4.75655,0,0,0,21,78.201,0,7.9351,0.864,211.654,369.546,0,0,0,0,146.354,0,3.50697,0,194.597,0,0,0,3.741,0,0,0,1.55828e+06,971.187,0,0,7.6924,237.192,0.761076,0,0,37.222,24.3485,0,3.21575
35.872,0,0,0.580233,0,45.0944,0,53.7295,0.954646,0,0,0,0,0,0,0,0,0,0,16,32.857,1.35182,15.6208,0,222.471,352.27,0,0,0,8.01936,114.514,0,0,12.191,75.728,0,0,0,0,0.111,0,0,1.16738e+06,786.177,0,0,0,178.528,1.92939,0,0,105.29,32.2765,4.4111,0
