"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
47.9684,1.02147,0,0,15.9771,19.4432,0,1.92033,1.79731,0,0.453035,0,0,0,0,2.41968,0,0,0,17,45.0175,2.02859,0.146959,0,218.719,533.324,0,0,0,0,117.005,1.42429,3.15682,26.8866,80.487,0,0,0,0,0,0,0,584630,688.574,0,0,0,177.813,0,0,0,80.6441,8.40057,4.44162,0
85.5504,0,0,0,2.42489,11.9715,1.82121,5.15372,0,0,0,0,0.35347,0,0,0,0,0,0,24,158.118,0,31.7949,0.369298,207.83,485.038,0,0,0,1.0695,115.665,0,0,20.1004,170.081,0,0,0,0,0,0,0,1.5963e+06,1191.25,0,0.504892,0,202.547,2.64053,0.303207,0,132.166,13.4124,0,0
49.6512,0,2.07319,4.37286,0,7.14638,0,2.71801,0,0,0.461631,0,0,0,0,0,0,0,0,25,198.162,4.84063,24.944,0.402471,197.79,411.711,0,2.73096,0.629328,0,145.097,0,1.87891e-06,0,298.82,0,0,0,0,0,0,0,527433,1127.18,0,0,0.545867,231.886,0.73843,10.2615,0,77.5172,34.5994,0.430426,0.194411
25.4858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,80.4213,0,30.0714,0,307.523,539.353,10.1209,0.663686,0,0,128.928,0,0,8.41272,151.498,0,0,0,0.627498,0,6.94853,36.6337,1.60465e+06,1019.84,0,0,0,31.5978,0,0,0,76.5167,26.5387,3.52058,0
53.7496,0,0.627716,122.867,0,25.987,0,1.19327,0,1.03668,0.260739,0,271.608,0,0.0160699,19.5179,0,0,0.904032,26,327.975,2.7181,107.904,41.5123,695.987,1256.64,0,4.17937,0,2.98009,158.387,0,8.51327,20.2591,85.461,0,0,4.77851,0,1.43257,0.505709,0,680551,1132.29,0,0,31.1063,185.817,0,133.524,0,202.328,737.118,0,0
39.9,0,0.200966,51.0582,0,47.3594,6.01322,0,0.667785,0,0,0,20.8089,0,0,1.48791,0,0,0,26,112.772,1.82284,140.729,12.328,584.266,1173.59,0,0.74595,0,0,99.646,0,5.327,26.635,54.793,0,0,1.40554,1.432,0,0,0,1.67347e+06,1273.07,0,0.332891,226.348,132.572,1.59827,84.3494,0,142.95,300.533,0.0446477,3.29959
37.8479,13.8719,0,0,6.94871,5.37186,44.6592,2.30068,0.640291,0,0,0,0,0,0.457253,4.69587,0,0,1.20516,30,426.343,5.24261,26.9673,5.39495,669.331,1165.71,0,0,0,7.77463,97.337,0,18.0221,81.9309,114.791,0,0,0,0,0,40.8108,0,362459,1243.4,0,0.174094,0,369.814,17.7366,0,504.188,223.913,321.396,268.422,6.29596
26.9748,0,0,0,1.6352,100.958,0,2.70971,0,0,0,0,0,0,2.68729,0,0,0,4.66617,18,31.2991,2.47618,0,0,622.95,1137.46,0,0,0,0,108.256,0.622194,0,20.9952,132.437,0,0,2.89867,0.776948,0.908597,0,1.86724,108549,800.131,0,0,0,50.6533,13.543,0,0,80.6396,86.9704,2.09241,0
60.047,4.55061,0,0,0,8.49334,0,0.463569,0,0,1.16669,0,0,0,0,0.122867,0.345845,0,0.782306,20,81.9634,0.674395,0,7.55835,368.881,646.283,0.625544,0.727832,0,0,139.699,0,0,16.7688,122.301,0,0,0,0,0,0,0.0423828,474855,922.546,0,0,0,139.43,4.83279,2.65145,0,29.7547,16.2317,1.50115,0
3.69599,0,0,0,3.53587,0,0,0,6.96023,0,0,0,1.00808,0,0,0,0,0,0,27,26.9172,1.49034,207.613,0,377.24,906.671,57.0144,0.4952,0,0.130304,114.388,0.912065,1.86624,8.37357,162.393,0,0,0,0,1.66691,1.29017,9.16145,279442,1247.52,0,0,0,52.1471,0,0.2384,0,49.3128,34.1901,2.16777,0
