"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
28.098,0,0,0,0.448475,27.2007,0,21.9231,0.981401,0,0,0,1.17203,0,0.0877562,0.236506,0,0,0,23,220.255,0,32.972,0,261.191,414.157,2.99291,0,0.736999,1.12219,92.391,0,0.836806,6.08465,188.176,0.0159277,0,0,0,0.630283,0,0,382808,923.571,0,0,1.32997,186.694,4.59364,3.74888,0,47.484,5.39538,0.518971,7.31361
57.6228,0,0,0,0,4.87049,0,58.4936,0,1.33047e-05,0,0,0,0,0,1.74504,0,0,0,20,439.947,2.04114,47.3368,0,210.461,352.644,0,0.674775,0.399285,0,108.33,0,1.99854,7.42176,61.844,0,0,0.401542,0,0,0.425378,0,993471,894.968,0,0,1.28501,238.867,0,0,0,61.3938,7.90055,0,2.53627
61.8093,0,0,0,0,50.0136,2.44384,31.5621,0,1.97577,0,0,0,0,0,2.65115,0,0,0,27,52.1765,0,40.3302,6.00653,481.71,877.541,0.0283638,0,0,0,145.206,0,0,18.3768,168.373,0,0,0,0,0,0,0.794295,702726,1228.57,0,0,0,209.771,3.29413,0.340349,0,82.0696,4.40707,0.567982,0
56.3227,0,0,0,0,22.688,0.769063,45.9716,2.69389,0,0,0,0,0,0.323138,0,0,0.204989,0,21,70.1719,0,30.5116,8.43678,306.805,554.72,0,0,0.276782,0,153.818,0,0,11.6283,92.93,0,0,0,0,4.63724,2.01552,0.175425,569024,996.264,0,0,0,176.592,0.836163,0.510151,0,34.5912,4.63305,0,0
40.4061,0,0,0,3.04247,21.4102,0,35.4485,0,0,0,2.47813,3.73855,0,0,0,0,0,0,34,141.771,8.3556,18.2241,0,230.633,429.453,0,0,0,0,95.746,0,1.84717,1.35159,281.807,0,0,0,0,0,1.89493,0,711955,1702.5,0,0,0,214.644,8.42546,0,0,51.0343,15.5463,0,1.46505
10.322,0,0,0,0,14.8935,0,65.4628,1.06613,0,12.2399,0,0,0.896932,0,12.1844,0,1.77214,0,14,38.707,0.0865476,26.8824,0,214.689,345.306,1.09662,0,0,0,90.13,0.99,3.70793,0,79.956,0,0,0,0,0.208,0,0,917210,659.137,0,0,0,160.036,0,0,0,48.224,1.59264,0.422146,0.0540717
56.9758,1.05091,0,0,0.466443,35.8385,0,21.7744,0.372899,0,0,0,0,0,2.06931,25.8566,0.869961,0,0.0659163,20,48.2111,0,44.53,0,562.497,977.839,0,0.0806356,0,2.60677,107.609,2.01313,2.01182,9.83046,121.525,0,0,0,0,0,0,0,1.09761e+06,903.957,0,0,0,255.883,1.38942,0,0,84.2895,0.4643,0,2.37059
66.585,0,0,0,1.95432,33.7584,1.84474,29.1181,0,0,0,0,0,0,0,0.958669,0,2.07318,0,17,113.505,0,20.1746,6.026,264.522,480.313,0,0,0,0,105.44,0,3.25799,19.148,92.977,0,0,0,0,2.379,0,0,940037,732.043,0,0,0,162.667,2.62767,0,0,58.381,8.37744,3.41352,0
69.5432,0,0.336092,0,1.22503,24.1487,1.69799,36.9548,0,0.659021,0,0,0.817403,0,0,7.18195,0,0.339827,2.03726,23,101.337,0,19.6596,0,257.687,509.942,0,3.57219,0,0,101.97,1.41011,2.35223,7.33834,132.72,0,0,0,0,0,0,0,581117,858.988,0,0,0,147.653,0,11.3397,0,62.0203,16.924,0,3.82859
38.3565,0,0,0,0.953092,116.688,0,18.0446,0,0,0,0,0,0,0,0,0.624163,0,0,17,101.045,0.938658,18.2003,3.62858,292.897,554.596,0,2.83098,0,0,170.06,1.89733,0.692551,5.89694,143.773,10,0,0,2.19574,0,0,0.377524,537538,773.234,0,0,0,102.369,0,0,0.0462956,83.7523,11.4592,2.49052,0.440791
