"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
10.2694,6.99366,0,0,2.22881,0,161.873,0,0,65.0765,0,330.167,0,0,20.3559,0,0,0,0,16,70.5517,0.124392,29.569,5.59783,282.776,575.242,0,2.63015,0,0,103.297,0,0,72.8814,79.577,0,0,0,0,0.806401,0,0.176867,666967,677.052,0,0,0.889164,0,0,0,0,112.41,16.6759,3.19339,28.9418
2.34501,51.1023,0,0,57.6191,0,21.2154,0,0,393.248,0.503954,67.2505,1.32478,0,0,0,0,0,0,17,83.5242,5.32462,112.145,0,311.168,559.55,0,1.14549,0,0,109.372,2.39466,0,86.9152,69.083,0,0,0,0,0,1.37974,0,1.3256e+06,739.478,0,0,0,5.3483,0,0,0,31.5293,100.207,19.2437,18.514
0,33.7066,0,0.36461,0,0,207.554,0.20503,0,16.79,0,206.412,0,0,7.38475,0.665902,0,0,0,26,45.0854,1.40889,23.1275,0,227.815,365.07,0,0,0,0,164.529,0,0,7.19914,178.304,0,0,2.56661,0,0,0,0,2.46985e+06,1265.54,0,0,0,0,0.258653,0,1.49093,78.5613,14.1468,1.42618,28.8067
4.75416,115.72,1.76335,0,11.5918,0,5.84263,13.2559,0,137.439,0,414.902,0,0,4.94157,0,0,0,0,29,39.0441,1.53781,74.1347,0,286.498,573.923,0,0,0,0,107.372,0,0,9.88554,140.51,0,0,0,2.1559,0.899223,1.36739,0.262547,1.88516e+06,1393.66,0,0,0,0,0,0,0,69.7663,88.8944,6.15139,0
2.93868,35.973,0,0,4.71128,2.06601,82.4699,0.974968,2.77129,72.0728,0,333.463,0,0,10.9938,0,1.09909,0.148557,0,31,224.469,0,30.7668,0,213.9,416.38,0,0,0,0,117.862,6.48823,0,35.2782,222.163,0,0,1.92606,1.05296,0.172219,0,0,1.14127e+06,1419.51,0,0,0,0,0,3.23425,0,41.1489,38.7387,0,29.5445
0,17.9779,1.05131,0,2.3738,0,88.0985,0,0,2.81563,0,334.843,0,0,8.03357,0,0,0,3.99817,19,217.585,0,36.9172,4.44103,230.21,392.275,0,0,1.90763,0,121.612,0,3.26746,5.16873,130.18,0,0,1.3779,0,0,0,2.23339,1.22793e+06,786.717,0,1.21663,0,0,1.00567,0,0,48.6748,19.5922,0,92.1484
0,58.143,0,0,39.7065,1.30879,46.0316,4.10361,0.881915,317.608,0.352794,705.136,0,0,0,0,0,0.901838,0,32,39.958,6.2147,297.356,3.698,231.79,399.186,0.0133538,2.40288,0,0,138.164,0,0,33.819,146.941,0,0,0,0,0,0,0,69321.2,1389.66,0,0,0,0,0,1.3298,3.60734,49.285,242.87,20.8824,1.94682
0,8.78755,0,0,0,0,78.2963,0,0,31.0899,0.648312,80.5767,0,0,4.33483,0,0,0,0.795565,24,151.042,0,8.64673,0,268.548,487.204,0,0,0,0,127.877,0,0,2.32819,199.541,0,0,0,0,0,0,0,480911,1016.03,0,0,0,0,0,0,0,23.616,3.89622,0,4.78783
2.70017,87.1909,0,0.315069,13.1864,0,10.2735,3.31339,0,10.4042,0,179.052,0,0,19.6059,0,0.355398,0,0,24,393.291,0,61.805,20.0286,195.877,384.559,0,0,0,0,125.974,0,0,5.41421,121.775,0,0,0,0,0,0,0.697069,1.26552e+06,1068.75,0,0,0,0,0,7.50765,0,84.2877,10.7761,0,23.9427
0,49.5696,0.0616884,0.717124,0,0,93.6857,0,0.752889,113.838,0,335.525,0,0,7.2468,0,0,0,0,22,455.461,2.14549,32.6829,7.82096,177.979,309.776,0,4.81777,0.980388,1.40596,86.193,0,2.67389,11.6849,90.629,0,0,1.89888,0,0.298426,3.68668,0,2.10727e+06,891.56,0,3.0381,0,0,0,2.3312,0.0966776,68.1162,10.3195,0,5.57576
0,60.7582,0.413015,0,8.93711,0,92.1828,1.81622,0,66.4634,1.27308,115.062,0,0,20.141,0,0,0,0,19,125.378,0,60.0379,0,174.951,321.701,0,0,0,0,109.806,0.251049,0,6.01631,86.712,0,0,0,0,0,0,0,186321,987.88,0,0,0,0,0,1.46814,0,32.3551,23.5646,0,13.41
0,73.6213,0,1.38521,23.089,0,25.5383,0,0,39.1078,0,21.734,0,0,0,0,0,4.4213,0,22,85.025,0,86.8265,0,178.954,403.396,0,0,0,0,111.708,1.16839,0.352228,9.09795,176.605,0,0,0,0,0,0,0,1.25459e+06,989.318,0,0,0,0,0,3.68193,0,23.6458,18.4727,0,3.37582
0,9.22587,0,0.819278,0,0.149637,59.0588,0,0,11.4636,0,71.1615,0,0,3.97859,3.0101,0,0,0,18,126.884,0,52.7448,0,158.042,391.77,0,0,0,0,143.496,0,6.0894,9.87795,171.905,0,0,0,0,0,0,0,1.25725e+06,819.369,0,0,0,0,0,0,0,22.2271,14.6733,0,0
0,17.2224,0,1.95436,1.70602,0,176.37,1.10547,0.270769,0,0,371.859,3.75082,0,10.0889,0,0,0,0,29,66.8302,4.39345,35.381,0,289.494,530.78,0,0,0,0,122.807,1.65059,0,0,233.936,0,0,0,0,0,0,0,1.81226e+06,1220.67,0,1.48307,0.658377,0,0,0,4.72499,36.7199,18.358,0,0
0,35.2405,0,0,1.81668,1.02639,78.0405,1.17543,0,15.0025,0,161.516,0,0.278626,10.0129,0,0.230641,0.644547,0,34,330.785,0,64.7637,0,150.175,229.323,0,0,0.430865,0,127.495,2.58751,0,33.7421,286.879,0,0,0.484733,0.37582,0.515715,3.20451,1.56943,2.59726e+06,1893.12,0,0,2.82208,0,0,0.984381,2.41692,37.8274,27.0925,1.67086,4.85456
0,25.902,0,0,57.7194,0.50241,19.5531,0,0,108.588,1.9914,221.301,0,0,0,1.78486,0,0.301472,0,15,35.65,0,155.997,0.929,277.608,413.363,0,0,0,0,90.288,0,0,19.764,94.621,0,0,0,0,0,2.65811,0,651900,687.177,0,0,0,1.50504,2.89157,5.70671,1.18225,15.566,44.0234,2.35574,14.442
0,92.396,0,0,22.551,0,1.97097,0,0,86.0622,0,21.5236,0,0,1.35472,0,0,0,0,17,70.586,2.05171,74.2602,7.577,333.821,754.494,0.964242,3.46808,0,0,89.602,1.57,6.553,35.747,117.008,0,0.255,1.96505,0,0,0,0.288599,2.46927e+06,669.791,0,0,0,0,0,0,0,55.408,59.0298,31.4803,5.71017
7.20215,12.4923,0,0,12.6764,1.70692,3.89506,0,0,53.0085,1.26969,31.4268,0,0,2.95887,0,0,0,0,22,56.9541,0,27.1957,0,224.059,408.645,0,2.35831,0,0,133.287,0,0,97.7183,140.37,0,0,0,0,0,3.68904,0,2.67422e+06,914.837,0,0,0,0,0,0,1.36821,39.3594,15.4155,2.33418,0
0.441987,62.3614,0,0,20.9159,0.15874,14.2201,0,0,349.928,0,227.27,0,0,0,0,0,0,0,16,188.507,0,195.862,2.07419,292.515,592.445,0,0,0,0,74.396,0,1.00145,29.8815,91.596,0,0,1.0347,1.85772,0.829186,0,0,1.97408e+06,734.325,0,0,0,2.37167,0,0,0,33.1308,163.259,4.09662,11.2174
0,173.619,0,0,62.2351,1.50775,51.9244,4.03895,0,394.075,1.66196,198.237,2.84751,0,2.1779,0,0,0,0,26,313.422,0,91.9608,9.19963,331.442,521.128,0,0,0,0,120.358,0,0,18.2608,129.521,0,0,0.208058,0,0.618353,0,0.58574,2.10727e+06,1137.05,0,0,0,0,0,0,0,71.2915,77.1542,0,11.9667
0,48.137,0,5.44239,7.92478,0,111.557,0,0,35.2763,0,38.7546,0,0,1.61952,0,0,0.447612,0,17,116.927,0,37.9902,0,186.702,345.383,0,1.14523,0,0,189.213,0,0,35.8466,144.958,0,0,0,0,1.08106,0,1.03487,2.13255e+06,760.707,0,0.929515,0,0.598623,0,3.83903,0,47.1652,8.83146,0,21.9045
0,37.0982,0,0,0,0,143.972,0,1.5662,7.81277,0,501.656,0,0,11.899,0,0,0,0.893913,18,181.269,2.77645,63.9371,0,242.782,545.962,0,0,0,0,108.858,0,0,7.70209,88.996,0,0,0,0,0,0,0,461912,769.486,0,0,2.15871,0,0,0,0,47.637,5.14262,0,13.7883
0.409785,25.3976,0.255508,2.03605,0,0,158.786,0,0,13.9096,0,116.006,0,0,4.14892,0,0,0,1.90845,22,148.248,0,27.0493,9.58972,201.88,330.017,0,0.510369,0,0,127.931,0,0,6.48438,204.543,0,0,2.40191,0,0,0,0.660235,864509,1006.99,0,0,0,0,8.80616e-05,0,0,34.9437,12.2177,0,9.24071
0,16.3259,0,0,0.422897,2.08526,54.9017,0,0,15.7724,0,231.818,0.967435,0,3.29163,0,0,0,0.912249,22,362.422,0.359054,34.3177,6.39974,168.268,395.536,0,0,0.320553,0,118.849,0,3.98638,16.2069,84.576,0,0,0.594527,0,1.52786,0,0,1.91002e+06,928.653,0,1.47765,0,0,0,0,0,22.4362,14.6569,0,0
0,51.0583,0,0.968876,0,0,97.7769,0.397327,0,13.6864,0,188.498,0,0,1.39572,0,0,0,0,15,134.377,0,26.2785,0,209.518,390.594,0,0,0,0,95.959,0.526462,0,0,118.216,1.63347,0,0,0,0,0,0,2.25028e+06,714.34,0,0,0.261671,0,0,0,0,28.5778,8.00459,0,1.28663
