"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
0,0,0,84.6202,0,0,1.03423,0,0,150.059,0,0.291503,3.77376,9.50793,0,0,0,0,0,15,33.905,1.55475,42.8156,0,210.926,507.297,0,0,0,2.0567,71.756,0,0,19.061,137.077,0,0,0,0,0,1.66691,2.17362,1.36884e+06,763.696,0,0,50.8281,0,0.430092,2.62152,0,52.696,94.3856,178.303,0
5.30884,2.84623,0.641851,5.86119,0,0,3.63745,1.99536,1.98138,123.796,1.98251,0,2.86275,0,0,0.0512428,0.37253,0.654024,0.170276,28,52.118,0,77.7756,2.50041,451.943,840.724,0.947197,0,0,0,124.206,2.30384,0.401951,35.3431,141.136,0,0,0,0,0,3.48668,0.711513,1.14191e+06,1232.06,0,0,100.135,0,0,38.3209,0.129528,70.0734,166.196,424.152,2.72441
0,3.083,6.61224,58.3845,0.679053,1.64151,0.612881,1.05125,0,569.877,28.7652,1.3294,0,0.151261,0,0,0,0,0.444445,20,117.552,0,32.2947,0,207.16,479.959,0,0.219268,0,0,114.353,0,1.128,23.558,120.724,0,0,0,0,1.237,0,0,1.31045e+06,868.571,0,0,2.29833,0,0,47.0664,0.135694,51.104,76.963,77.93,0
0,3.235,5.39665,12.1727,0,0,0,1.05904,0,46.9034,0,0,4.95915,0,0,1.99992,0,2.6883,0,22,65.166,0.97129,227.869,2.886,221.629,460.426,0,0,0,1.26073,115.859,0,2.31697,13.782,156.631,0,0,0.96002,0,0,7.89304,0,1.30183e+06,1131.76,0,0,0,0,0.655064,68.9041,0,110.603,94.4949,138.221,0
0,0,0.806569,9.22349,0.243703,0,5.49159,0,0,357.174,0,0,1.68629,0,0,3.58753,0,0,0.633087,29,92.1999,3.85231,223.819,18.76,180.122,405.362,0,0.816513,0,0,112.281,0,4.31378,13.6363,108.457,0,0,0,0,0,0,1.73119,582099,1096.28,0,0,28.5422,0,0,48.0257,0,181.854,128.005,333.011,3.34747
0,3.36356,0.353045,10.198,0,0,3.5669,0.696224,0,770.176,4.03265,3.4228,1.92692,0,1.163,0.668027,0,0,0,26,168.931,0.343466,173.481,20.2039,255.912,520.514,0.0347231,0,0,0,111.705,0,0,0,133.29,0,0,0.971288,1.72179,0,0,0,1.8135e+06,1385.55,0.770242,0.742958,17.0368,0.410511,0,59.2852,0,86.9348,271.98,174.583,7.31418
1.05057,0,0,30.2057,1.9787,6.50714,0,0,5.57295,720.519,2.01806,0,0.838977,0,0,3.92794,0,0.242865,0,20,127.33,3.30797,588.996,81.6519,378.263,791.546,0,0,0,0,77.974,0,4.73551,90.3742,84.957,0,0,1.40076,0,0,0,0,1.9761e+06,909.28,0,0,33.9563,0,0,172.544,0,142.504,841.837,225.167,2.07156
5.49181,9.16601,0,43.8098,31.2693,0,0.159501,0,0,104.74,0,1.41209,5.47806,0,0,0,0,0,0.543925,18,83.4468,5.80509,53.8016,0,250.965,449.747,0,0,0,0,122.668,0,0.559153,92.4598,120.166,0,0,0,0,2.10467,0,0,1.50354e+06,850.428,0,0,180.646,0.019464,0,9.26703,0,19.9288,37.751,54.286,0.199967
0,0,0,23.8584,0,0,1.98003,0,0,39.4311,0,0,0.771806,0,0,0,0,4.46537,0,25,95.3667,0.41191,117.305,7.50097,426.82,833.671,0.133732,1.47771,0,0,115.563,0,3.27163,3.61235,102.202,0,0,0.774823,0,0.850073,0.340987,0,1.8085e+06,963.51,0,0,6.2771,0,1.10583,0.450642,0,87.4972,131.864,416.237,0
2.27779,0,4.89817,14.4486,0.710935,0,0,1.10389,0.0715161,872.844,0.0600795,0.199164,0,5.78078,0,0,0,0.189357,0.819949,23,50.6622,0.954859,37.8056,0,624.129,1133.43,0,0,0,0.328833,105.283,0,2.30939,16.6913,124.15,0,0,0,2.38566,0,0,0,760429,1075.96,0,0,27.1923,0,0.275225,36.1365,0,51.554,23.9982,116.658,1.40048
